"Buurten";"aantal mensen met een uitkering Participatiewet (Pw)|2018";"percentage mensen met een uitkering krachtens de Participatiewet|2018";"bevolking totaal|2018";"percentage minimahuishoudens|2018";"aantal minimahuishoudens|2018";"gemiddeld inkomen per persoon met inkomen|2018";"gemiddeld huishoudensinkomen|2018";"aangiften diefstal af/uit woning|2018";"aangiften diefstal auto|2018";"aangiften diefstal fiets|2018";"aangiften diefstal af/uit bedrijf|2018";"aangiften diefstal af/uit auto|2018";"aangiften van vernieling|2018";"aangiften van mishandeling|2018"
"1710 Buitengebied Haren-Zuidwest";"";"";"";"";"";"";"";0;0;0;0;0;0;0
"1800 Oosterhaar";"";"";"";7,7;160;33,8;46,5;3;0;1;1;0;0;2
"1801 Tuindorp";"";"";"";"";"";27,9;40,5;1;0;0;0;0;0;0
"1802 Felland";"";"";"";"";"";"";"";0;0;0;1;0;0;0
"1803 Buitengebied Haren-Noordoost";"";"";"";"";"";"";"";0;0;0;0;0;0;0
"1900 Glimmen Dorp";"";"";"";5,6;20;42,7;58,9;1;0;1;2;4;0;2
"1901 Onnen Dorp";"";"";"";5,5;10;42,9;61,7;1;0;0;0;0;0;0
"1902 Noordlaren Dorp";"";"";"";5,7;10;37,3;54,6;0;0;0;0;0;0;0
"1903 Buitengebied Glimmen";"";"";"";6,7;15;46,9;61,4;1;0;1;0;0;0;1
"1904 Buitengebied Onnen";"";"";"";0,0;"X";39,4;62,1;0;0;0;0;0;0;0
"1905 Buitengebied Noordlaren";"";"";"";7,9;10;43,3;"-";0;0;0;0;0;0;0
"1906 Zuidlaardermeer";"";"";"";"";"";"";"";0;0;0;0;0;0;0
"1907 Noordlaarderbos";"";"";"";"";"";"";"";0;0;0;0;0;0;0
"1908 Appelbergen Glimmen";"";"";"";"";"";"";"";0;0;0;0;0;0;0
"1909 Appelbergen Onnen";"";"";"";"";"";"";"";0;0;0;0;0;0;0
"Buurt onbekend";970;"";1;"";"";"";"";"";"";"";"";"";"";""
