buurtcode,buurtnaam,wijkcode,inwoners_per_km2,perc_0_15_jaar,perc_15_25_jaar,perc_25_45_jaar,perc_45_65_jaar,perc_65_en_ouder,perc_ongehuwd,perc_gehuwd,perc_gescheid,perc_verweduwd,aantal_huishoudens,perc_eenpersoonshuishoudens,perc_huishoudens_z_kind,perc_huishoudens_met_kind,gemiddelde_huishoudsgrootte,perc_west_migratie,perc_niet_west_migratie,percentage_uit_marokko,perc_uit_antillen_en_aruba,percentage_uit_suriname,percentage_uit_turkije,perc_overige_nietwestersemigratie,bedrijven_landbouw,gemid_won_waarde,perc_eengezinswoning,perc_meergezinswoning,perc_koopwoningen,perc_huurwoningen,perc_huurwoning_van_corporaties,perc_huurwoning_van_verhuurder,perc_werknemers,perc_zelfstandigen,gemiddeld_inkomen_per_inwoner,perc_huishoud_laag_inkomen,perc_huishoud_hoog_inkomen,personen_met_bijstandsuitkering,gewelds_misdrijven,autos_totaal,autos_per_huishouden,motortweewielers,bevolking_totaal,percentage_minimahuishoudens,aantal_minimahuishoudens,gemiddeld_huishoudensinkomen,diefstal_af_uit_woning,diefstal_auto,diefstal_fiets,diefstal_af_uit_bedrijf,diefstal_af_uit_auto,aangiften_van_vernieling,aangiften_van_mishandeling,dogs_amount,politie_report_aantal
BU000404,Damsterbuurt,WK001404,2957.0,5.0,32.0,39.0,17.0,8.0,83.0,11.0,5.0,2.0,580.0,77.0,17.0,7.0,1.3,10.0,9.0,0.0,3.0,1.0,0.0,4.0,0.0,150.0,12.0,88.0,19.0,81.0,59.0,22.0,91.0,9.0,24.0,77.0,6.0,40.0,7.0,310.0,0.5,20.0,812.0,14.5,60,30.0,2.0,0.0,8.0,2.0,0.0,9.0,2.0,9,23.0
BU000501,Europapark,WK001405,1031.0,6.0,24.0,25.0,31.0,14.0,54.0,38.0,6.0,2.0,300.0,62.0,29.0,9.0,1.5,16.0,8.0,1.0,1.0,0.0,1.0,6.0,0.0,192.0,0.0,100.0,41.0,58.0,55.0,3.0,85.0,15.0,31.0,53.0,17.0,0.0,18.0,225.0,0.7,10.0,453.0,7.4,15,43.9,1.0,0.0,5.0,2.0,4.0,3.0,2.0,10,17.0
BU000502,Eemskanaal,WK001405,54.0,1.0,28.0,54.0,15.0,1.0,87.0,6.0,7.0,0.0,60.0,94.0,3.0,3.0,1.1,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,620.0,0.0,10.0,67.0,0.0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1,3.0
BU000503,Kop van Oost,WK001405,11415.0,8.0,19.0,44.0,21.0,8.0,67.0,27.0,5.0,1.0,385.0,50.0,34.0,17.0,1.7,14.0,13.0,0.0,0.0,1.0,2.0,11.0,0.0,245.0,21.0,79.0,52.0,46.0,19.0,27.0,85.0,15.0,38.0,36.0,26.0,10.0,5.0,240.0,0.6,25.0,658.0,3.2,10,51.8,1.0,0.0,4.0,1.0,3.0,2.0,1.0,10,12.0
BU000504,Woonschepenhaven,WK001405,2090.0,10.0,18.0,32.0,33.0,7.0,69.0,24.0,6.0,1.0,80.0,56.0,27.0,17.0,1.7,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,10.0,0.0,45.0,0.6,10.0,141.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7,2.0
BU000506,Eemspoort,WK001405,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,40.0,40.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,10.0,27.0,0.0,0,0.0,1.0,1.0,1.0,4.0,2.0,6.0,2.0,2,17.0
BU000507,Euvelgunne,WK001405,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,15.0,45.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,48.0,0.0,0,0.0,1.0,3.0,1.0,4.0,2.0,6.0,2.0,3,19.0
BU000508,Winschoterdiep,WK001405,41.0,4.0,6.0,13.0,74.0,4.0,58.0,21.0,19.0,2.0,40.0,79.0,17.0,5.0,1.3,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,190.0,0.0,15.0,53.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0
BU000510,Roodehaan,WK001405,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,38.0,38.0,23.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,25.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1.0
BU000600,Sterrebosbuurt,WK001406,648.0,7.0,6.0,43.0,37.0,7.0,72.0,19.0,9.0,1.0,95.0,43.0,31.0,27.0,2.0,10.0,16.0,3.0,4.0,4.0,2.0,3.0,0.0,389.0,97.0,3.0,89.0,11.0,2.0,10.0,0.0,0.0,41.0,0.0,0.0,0.0,81.0,105.0,1.1,10.0,390.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,8,7.0
BU000601,Coendersborg,WK001406,4255.0,13.0,12.0,26.0,25.0,24.0,54.0,28.0,9.0,8.0,1580.0,54.0,23.0,23.0,1.8,10.0,7.0,0.0,1.0,1.0,0.0,5.0,0.0,190.0,37.0,63.0,61.0,38.0,13.0,26.0,87.0,13.0,31.0,39.0,19.0,40.0,3.0,1160.0,0.7,70.0,3080.0,6.2,90,42.8,6.0,0.0,6.0,1.0,2.0,10.0,2.0,87,27.0
