buurtcode,buurtnaam,wijkcode,inwoners_per_km2,perc_0_15_jaar,perc_15_25_jaar,perc_25_45_jaar,perc_45_65_jaar,perc_65_en_ouder,perc_ongehuwd,perc_gehuwd,perc_gescheid,perc_verweduwd,aantal_huishoudens,perc_eenpersoonshuishoudens,perc_huishoudens_z_kind,perc_huishoudens_met_kind,gemiddelde_huishoudsgrootte,perc_west_migratie,perc_niet_west_migratie,percentage_uit_marokko,perc_uit_antillen_en_aruba,percentage_uit_suriname,percentage_uit_turkije,perc_overige_nietwestersemigratie,bedrijven_landbouw,gemid_won_waarde,perc_eengezinswoning,perc_meergezinswoning,perc_koopwoningen,perc_huurwoningen,perc_huurwoning_van_corporaties,perc_huurwoning_van_verhuurder,perc_werknemers,perc_zelfstandigen,gemiddeld_inkomen_per_inwoner,perc_huishoud_laag_inkomen,perc_huishoud_hoog_inkomen,personen_met_bijstandsuitkering,gewelds_misdrijven,autos_totaal,autos_per_huishouden,motortweewielers,bevolking_totaal,percentage_minimahuishoudens,aantal_minimahuishoudens,gemiddeld_huishoudensinkomen,diefstal_af_uit_woning,diefstal_auto,diefstal_fiets,diefstal_af_uit_bedrijf,diefstal_af_uit_auto,aangiften_van_vernieling,aangiften_van_mishandeling,dogs_amount,politie_report_aantal
BU000803,Vierverlaten,WK001408,125.0,13.0,15.0,22.0,38.0,12.0,46.0,45.0,7.0,2.0,55.0,26.0,33.0,41.0,2.3,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,92.0,8.0,71.0,29.0,0.0,29.0,0.0,0.0,24.0,0.0,0.0,0.0,7.0,65.0,1.1,10.0,138.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16,1.0
BU000804,Zuidwending,WK001408,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,25.0,35.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,5.0,45.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0
BU000805,Leegkerk,WK001408,24.0,18.0,10.0,18.0,36.0,17.0,57.0,31.0,9.0,3.0,30.0,14.0,38.0,48.0,2.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,36.0,89.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,78.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7,2.0
BU000806,Gravenburg,WK001408,1525.0,29.0,13.0,23.0,31.0,4.0,56.0,40.0,3.0,1.0,710.0,9.0,21.0,70.0,3.2,7.0,7.0,1.0,1.0,2.0,0.0,3.0,0.0,287.0,100.0,0.0,89.0,11.0,10.0,1.0,88.0,12.0,27.0,11.0,50.0,10.0,2.0,940.0,1.3,90.0,2296.0,2.8,20,60.0,8.0,0.0,2.0,0.0,1.0,6.0,2.0,105,19.0
BU000808,Peizerweg,WK001408,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,50.0,36.0,14.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,26.0,0.0,0,0.0,0.0,1.0,0.0,1.0,7.0,2.0,0.0,2,11.0
BU000809,Bangeweer,WK001408,418.0,17.0,11.0,20.0,36.0,17.0,54.0,37.0,7.0,2.0,120.0,29.0,34.0,37.0,2.3,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,96.0,4.0,91.0,9.0,0.0,9.0,0.0,0.0,21.0,39.0,16.0,10.0,0.0,115.0,1.0,25.0,276.0,8.7,10,39.6,4.0,1.0,0.0,0.0,0.0,2.0,1.0,27,8.0
BU000810,De Buitenhof,WK001408,4537.0,25.0,12.0,17.0,37.0,9.0,57.0,38.0,3.0,1.0,550.0,11.0,32.0,57.0,2.9,8.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,332.0,100.0,0.0,92.0,8.0,7.0,1.0,85.0,15.0,32.0,10.0,53.0,0.0,1.0,640.0,1.2,45.0,1604.0,0.9,0,63.8,7.0,0.0,2.0,0.0,1.0,6.0,2.0,69,18.0
BU000811,Kranenburg,WK001408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0
BU000812,De Kring,WK001408,3567.0,24.0,9.0,30.0,24.0,13.0,73.0,16.0,8.0,3.0,145.0,32.0,25.0,43.0,2.3,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,100.0,0.0,11.0,89.0,89.0,0.0,0.0,0.0,11.0,81.0,3.0,70.0,15.0,115.0,0.8,0.0,331.0,56.7,60,25.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,14,2.0
BU000900,Vinkhuizen-Noord,WK001409,7087.0,10.0,29.0,27.0,18.0,16.0,64.0,24.0,7.0,5.0,3685.0,61.0,23.0,17.0,1.6,14.0,17.0,2.0,2.0,2.0,2.0,9.0,0.0,130.0,42.0,58.0,24.0,76.0,62.0,14.0,90.0,10.0,17.0,73.0,4.0,320.0,5.0,1700.0,0.5,95.0,6119.0,20.2,510,28.8,17.0,1.0,20.0,3.0,5.0,30.0,14.0,251,90.0
BU000901,Vinkhuizen-Zuid,WK001409,4755.0,16.0,14.0,22.0,24.0,24.0,51.0,29.0,11.0,9.0,2380.0,48.0,22.0,30.0,2.0,11.0,22.0,2.0,3.0,4.0,2.0,11.0,0.0,142.0,45.0,55.0,23.0,77.0,70.0,7.0,89.0,11.0,18.0,67.0,6.0,470.0,13.0,1430.0,0.6,70.0,4861.0,27.2,600,29.2,12.0,1.0,11.0,4.0,5.0,51.0,26.0,229,110.0
BU000902,Hoendiep,WK001409,259.0,9.0,13.0,36.0,33.0,9.0,55.0,37.0,5.0,2.0,75.0,49.0,32.0,19.0,1.7,6.0,16.0,0.0,2.0,2.0,0.0,12.0,0.0,0.0,86.0,14.0,81.0,14.0,0.0,14.0,0.0,0.0,23.0,0.0,0.0,10.0,38.0,140.0,1.9,35.0,130.0,0.0,0,0.0,1.0,0.0,5.0,8.0,1.0,9.0,5.0,11,29.0
BU000903,Friesestraatweg,WK001409,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,72.0,14.0,14.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,5.0,42.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,2.0
BU000904,Reitdiep,WK001409,3179.0,29.0,8.0,31.0,26.0,6.0,60.0,34.0,4.0,1.0,950.0,19.0,29.0,53.0,2.8,9.0,6.0,0.0,0.0,1.0,1.0,4.0,0.0,289.0,82.0,18.0,87.0,12.0,3.0,9.0,86.0,14.0,32.0,10.0,48.0,10.0,8.0,1120.0,1.2,100.0,2685.0,2.2,20,61.6,7.0,0.0,7.0,2.0,3.0,18.0,15.0,100,52.0
BU000905,Dorkwerd,WK001409,42.0,16.0,8.0,28.0,28.0,20.0,48.0,46.0,4.0,2.0,35.0,32.0,35.0,32.0,2.2,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,83.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,70.0,0.0,5.0,83.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9,2.0
BU000906,De Held,WK001409,2960.0,21.0,11.0,23.0,31.0,14.0,51.0,41.0,5.0,3.0,1050.0,24.0,30.0,46.0,2.5,7.0,8.0,0.0,1.0,3.0,0.0,3.0,0.0,230.0,86.0,14.0,87.0,13.0,10.0,4.0,87.0,13.0,27.0,19.0,29.0,20.0,2.0,1170.0,1.1,75.0,2668.0,3.4,30,49.9,12.0,0.0,3.0,0.0,1.0,7.0,5.0,135,28.0
BU001000,Selwerd,WK001410,7557.0,13.0,27.0,28.0,17.0,16.0,67.0,20.0,7.0,6.0,3880.0,66.0,17.0,17.0,1.6,13.0,26.0,2.0,3.0,3.0,2.0,17.0,0.0,125.0,29.0,71.0,21.0,79.0,54.0,25.0,91.0,9.0,17.0,75.0,3.0,590.0,9.0,1470.0,0.4,100.0,6231.0,26.6,690,27.2,27.0,2.0,64.0,1.0,6.0,44.0,19.0,171,163.0
BU001001,Paddepoel-Zuid,WK001410,8466.0,18.0,18.0,29.0,21.0,14.0,66.0,22.0,8.0,4.0,2465.0,56.0,19.0,25.0,1.8,11.0,25.0,2.0,4.0,3.0,2.0,14.0,0.0,160.0,31.0,69.0,24.0,76.0,59.0,17.0,90.0,10.0,19.0,68.0,9.0,490.0,6.0,1155.0,0.5,60.0,4614.0,28.5,570,31.0,13.0,2.0,41.0,2.0,15.0,40.0,5.0,165,118.0
BU001002,Paddepoel-Noord,WK001410,8928.0,9.0,24.0,25.0,17.0,25.0,58.0,25.0,9.0,8.0,3860.0,69.0,18.0,13.0,1.5,17.0,21.0,1.0,2.0,2.0,2.0,14.0,0.0,135.0,29.0,71.0,25.0,75.0,53.0,22.0,90.0,10.0,20.0,73.0,5.0,290.0,6.0,1560.0,0.4,80.0,5897.0,25.0,680,27.8,29.0,0.0,31.0,5.0,8.0,31.0,16.0,153,120.0
BU001005,Tuinwijk,WK001410,10060.0,11.0,24.0,43.0,15.0,7.0,80.0,13.0,6.0,1.0,1020.0,65.0,21.0,13.0,1.5,10.0,12.0,0.0,1.0,3.0,0.0,7.0,0.0,137.0,14.0,86.0,20.0,80.0,57.0,23.0,89.0,11.0,20.0,75.0,5.0,110.0,6.0,400.0,0.4,40.0,1561.0,24.1,190,28.4,5.0,0.0,25.0,0.0,2.0,9.0,2.0,49,43.0
BU001100,Beijum-West,WK001411,5217.0,17.0,13.0,27.0,32.0,11.0,58.0,30.0,11.0,2.0,3070.0,45.0,23.0,32.0,2.0,10.0,13.0,1.0,4.0,3.0,1.0,6.0,0.0,130.0,71.0,29.0,62.0,38.0,25.0,13.0,89.0,11.0,21.0,48.0,8.0,350.0,5.0,2185.0,0.7,225.0,6134.0,16.2,450,34.3,21.0,1.0,10.0,1.0,2.0,36.0,16.0,397,87.0
BU001101,Beijum-Oost,WK001411,6800.0,19.0,14.0,30.0,29.0,8.0,61.0,26.0,11.0,2.0,3170.0,46.0,19.0,35.0,2.0,11.0,18.0,1.0,5.0,3.0,0.0,9.0,0.0,121.0,55.0,45.0,35.0,65.0,61.0,5.0,89.0,11.0,18.0,61.0,6.0,720.0,6.0,2055.0,0.6,185.0,6351.0,29.1,870,29.9,17.0,0.0,11.0,4.0,6.0,49.0,16.0,456,103.0
BU001102,De Hunze,WK001411,5121.0,16.0,11.0,23.0,37.0,12.0,51.0,42.0,6.0,2.0,1075.0,25.0,37.0,38.0,2.3,9.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,225.0,99.0,1.0,96.0,4.0,0.0,4.0,89.0,11.0,29.0,16.0,27.0,10.0,1.0,1155.0,1.1,120.0,2495.0,1.9,20,49.6,15.0,2.0,5.0,2.0,3.0,7.0,2.0,100,36.0
BU001103,Van Starkenborgh,WK001411,5978.0,26.0,12.0,25.0,33.0,4.0,60.0,35.0,4.0,1.0,325.0,16.0,25.0,60.0,2.9,7.0,9.0,0.0,0.0,2.0,2.0,5.0,0.0,325.0,100.0,0.0,98.0,2.0,0.0,2.0,81.0,19.0,32.0,10.0,58.0,0.0,2.0,345.0,1.1,30.0,946.0,1.6,0,64.6,3.0,0.0,1.0,0.0,1.0,1.0,0.0,27,6.0
BU001104,Noorderhoogebrug,WK001411,582.0,13.0,17.0,19.0,37.0,14.0,54.0,35.0,7.0,4.0,130.0,34.0,33.0,33.0,2.2,6.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,220.0,87.0,13.0,81.0,18.0,0.0,18.0,71.0,29.0,29.0,32.0,29.0,0.0,4.0,155.0,1.2,30.0,284.0,8.5,10,48.3,2.0,0.0,1.0,1.0,1.0,3.0,0.0,20,8.0
BU001105,Het Witte Lam,WK001411,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,25.0,38.0,38.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,5.0,35.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
BU001106,Koningslaagte,WK001411,11.0,19.0,14.0,19.0,26.0,23.0,43.0,53.0,4.0,0.0,25.0,15.0,44.0,41.0,2.7,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,68.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,15.0,74.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0
BU001200,Lewenborg-Noord,WK001412,6137.0,17.0,11.0,24.0,27.0,22.0,51.0,29.0,13.0,6.0,1815.0,45.0,23.0,32.0,2.0,11.0,14.0,1.0,4.0,2.0,0.0,8.0,0.0,130.0,53.0,47.0,37.0,63.0,53.0,9.0,88.0,12.0,19.0,58.0,6.0,310.0,7.0,1225.0,0.7,95.0,3646.0,25.5,430,30.0,11.0,0.0,11.0,3.0,1.0,22.0,15.0,254,63.0
BU001201,Lewenborg-Zuid,WK001412,5811.0,21.0,11.0,30.0,26.0,13.0,56.0,30.0,12.0,3.0,1605.0,37.0,24.0,39.0,2.2,9.0,18.0,1.0,5.0,3.0,1.0,8.0,0.0,137.0,69.0,31.0,56.0,44.0,41.0,3.0,88.0,12.0,19.0,48.0,7.0,270.0,3.0,1290.0,0.8,100.0,3501.0,18.7,280,33.8,5.0,0.0,13.0,2.0,3.0,24.0,8.0,261,55.0
BU001202,Lewenborg-West,WK001412,3478.0,16.0,14.0,26.0,27.0,16.0,52.0,37.0,8.0,2.0,850.0,34.0,31.0,35.0,2.2,9.0,9.0,0.0,2.0,2.0,0.0,4.0,0.0,142.0,70.0,30.0,80.0,20.0,13.0,7.0,90.0,10.0,23.0,33.0,11.0,30.0,7.0,800.0,0.9,60.0,1853.0,5.1,40,39.1,5.0,1.0,12.0,0.0,0.0,18.0,6.0,138,42.0
BU001203,Oosterhoogebrug,WK001412,2632.0,12.0,11.0,26.0,29.0,23.0,48.0,39.0,8.0,5.0,1160.0,41.0,34.0,25.0,1.9,9.0,7.0,0.0,1.0,1.0,0.0,4.0,0.0,192.0,73.0,27.0,58.0,41.0,33.0,8.0,83.0,17.0,26.0,42.0,16.0,70.0,4.0,1040.0,0.9,140.0,2235.0,11.8,130,39.1,8.0,3.0,5.0,4.0,2.0,11.0,5.0,147,38.0
BU001204,Ulgersmaborg,WK001412,2071.0,19.0,11.0,25.0,34.0,12.0,53.0,39.0,6.0,2.0,870.0,25.0,34.0,41.0,2.4,10.0,6.0,0.0,1.0,1.0,0.0,4.0,0.0,200.0,94.0,6.0,72.0,28.0,18.0,10.0,88.0,12.0,25.0,25.0,21.0,60.0,3.0,955.0,1.1,90.0,2077.0,7.7,60,44.7,12.0,1.0,4.0,1.0,2.0,5.0,1.0,117,26.0
BU001206,Zilvermeer,WK001412,3600.0,14.0,13.0,12.0,44.0,17.0,42.0,49.0,5.0,4.0,85.0,14.0,47.0,40.0,2.5,3.0,8.0,0.0,1.0,1.0,0.0,5.0,0.0,314.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,120.0,1.4,10.0,219.0,0.0,0,0.0,1.0,0.0,3.0,0.0,5.0,2.0,1.0,8,12.0
BU001207,Kardinge,WK001412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,1.0,0.0,3.0,0.0,5.0,2.0,1.0,3,12.0
BU001208,Drielanden,WK001412,4203.0,18.0,13.0,17.0,42.0,10.0,51.0,41.0,6.0,1.0,395.0,24.0,34.0,42.0,2.4,9.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,226.0,100.0,0.0,93.0,7.0,7.0,1.0,90.0,10.0,28.0,15.0,31.0,0.0,0.0,415.0,1.0,25.0,970.0,2.6,10,49.8,3.0,0.0,1.0,0.0,1.0,1.0,0.0,60,6.0
BU001209,Noorddijk,WK001412,47.0,15.0,14.0,9.0,38.0,25.0,36.0,55.0,3.0,6.0,40.0,21.0,45.0,33.0,2.4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,9.0,93.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,5.0,102.0,0.0,0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,24,5.0
BU001210,Ruischerbrug,WK001412,2516.0,16.0,7.0,26.0,27.0,24.0,42.0,45.0,7.0,7.0,215.0,28.0,39.0,33.0,2.2,7.0,6.0,0.0,0.0,2.0,2.0,2.0,0.0,199.0,92.0,8.0,72.0,28.0,23.0,5.0,81.0,19.0,25.0,38.0,20.0,0.0,4.0,225.0,1.0,30.0,480.0,7.0,14,41.8,3.0,0.0,1.0,0.0,1.0,1.0,0.0,36,6.0
BU001211,Ruischerwaard,WK001412,6112.0,21.0,12.0,28.0,33.0,7.0,57.0,36.0,6.0,1.0,520.0,19.0,31.0,50.0,2.6,8.0,6.0,0.0,1.0,3.0,0.0,3.0,0.0,209.0,100.0,0.0,95.0,5.0,5.0,1.0,89.0,11.0,27.0,13.0,29.0,10.0,1.0,580.0,1.1,50.0,1366.0,2.9,15,50.5,2.0,0.0,1.0,0.0,1.0,1.0,0.0,71,5.0
BU001300,Middelbert,WK001413,34.0,15.0,14.0,17.0,31.0,23.0,52.0,44.0,3.0,1.0,40.0,26.0,33.0,42.0,2.5,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,76.0,24.0,10.0,15.0,0.0,0.0,31.0,0.0,0.0,0.0,10.0,65.0,0.0,5.0,107.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,9,3.0
BU001301,Engelbert,WK001413,272.0,19.0,11.0,20.0,32.0,18.0,50.0,42.0,5.0,3.0,365.0,24.0,35.0,41.0,2.4,6.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,239.0,93.0,7.0,79.0,21.0,16.0,5.0,76.0,24.0,28.0,29.0,30.0,10.0,2.0,480.0,1.3,60.0,890.0,8.3,30,49.8,1.0,0.0,0.0,0.0,0.0,1.0,2.0,62,4.0
BU001302,Klein Harkstede,WK001413,394.0,8.0,6.0,16.0,45.0,24.0,40.0,53.0,0.0,6.0,30.0,23.0,53.0,23.0,2.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,93.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,5.0,61.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0
