buurtcode,buurtnaam,wijkcode,gemeentecode,gemeentenaam,indelingswijziging_wijken_en_buurten,water,meest_voorkomende_postcode,dekkingspercentage,omgevingsadressendichtheid,stedelijkheid_adressen_per_km2,bevolkingsdichtheid_inwoners_per_km2,aantal_inwoners,mannen,vrouwen,percentage_personen_0_tot_15_jaar,percentage_personen_15_tot_25_jaar,percentage_personen_25_tot_45_jaar,percentage_personen_45_tot_65_jaar,percentage_personen_65_jaar_en_ouder,percentage_ongehuwd,percentage_gehuwd,percentage_gescheid,percentage_verweduwd,aantal_huishoudens,percentage_eenpersoonshuishoudens,percentage_huishoudens_zonder_kinderen,percentage_huishoudens_met_kinderen,gemiddelde_huishoudsgrootte,percentage_westerse_migratieachtergrond,percentage_niet_westerse_migratieachtergrond,percentage_uit_marokko,percentage_uit_nederlandse_antillen_en_aruba,percentage_uit_suriname,percentage_uit_turkije,percentage_overige_nietwestersemigratieachtergrond,oppervlakte_totaal_in_ha,oppervlakte_land_in_ha,oppervlakte_water_in_ha,jrstatcode,jaar
BU00140007,UMCG,WK001400,GM0014,Groningen,1,NEE,9713,1,6513,1,-99999999,0,0,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,-99999999,-99999999,-99999999,-99999999.0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,24,24,0,2022BU00140007,2022
BU00141506,Bedrijventerrein Ten Boer,WK001415,GM0014,Groningen,1,NEE,9791,1,374,5,286,40,25,15,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,15,13,50,38,2.5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,15,14,1,2022BU00141506,2022
BU00141203,Oosterhoogebrug,WK001412,GM0014,Groningen,1,NEE,9731,1,1461,3,2571,2180,1130,1045,12,10,27,27,24,51,37,7,5,1145,42,34,25,1.9,9,9,0,2,1,1,6,96,85,12,2022BU00141203,2022
BU00141603,Winneweer,WK001416,GM0014,Groningen,1,NEE,9793,1,43,5,134,100,60,40,12,7,23,34,24,45,47,4,4,45,28,43,28,2.2,4,3,-99999999,-99999999,-99999999,-99999999,-99999999,77,75,3,2022BU00141603,2022
BU00140805,Leegkerk,WK001408,GM0014,Groningen,1,NEE,9746,1,209,5,23,70,40,35,18,10,11,38,23,53,37,5,4,30,18,39,43,2.6,1,0,-99999999,-99999999,-99999999,-99999999,-99999999,322,316,6,2022BU00140805,2022
BU00140511,Waterhuizen,WK001405,GM0014,Groningen,1,NEE,9723,1,6,5,-99999999,5,5,5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,-99999999,-99999999,-99999999,6.0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,48,45,3,2022BU00140511,2022
BU00140003,Binnenstad-West,WK001400,GM0014,Groningen,1,NEE,9718,1,6369,1,17536,1710,950,765,3,40,38,9,10,84,11,4,2,1370,80,17,3,1.3,20,11,0,0,1,1,8,11,10,1,2022BU00140003,2022
BU00140809,Bangeweer,WK001408,GM0014,Groningen,1,NEE,9744,1,511,4,317,255,135,120,12,12,21,35,20,54,37,6,3,110,28,38,35,2.3,7,1,-99999999,-99999999,-99999999,-99999999,-99999999,90,81,9,2022BU00140809,2022
BU00141700,Haren-Centrum,WK001417,GM0014,Groningen,1,NEE,9752,4,1323,3,3962,1140,540,600,11,9,23,21,36,44,35,10,11,660,55,29,16,1.7,9,7,0,0,1,0,5,29,29,0,2022BU00141700,2022
BU00141602,Woltersum,WK001416,GM0014,Groningen,1,NEE,9795,1,53,5,126,350,180,165,15,12,18,40,14,50,38,7,4,150,34,26,39,2.3,4,4,0,0,1,1,2,276,274,1,2022BU00141602,2022
BU00141102,De Hunze,WK001411,GM0014,Groningen,1,NEE,9731,1,1602,2,4934,2410,1195,1210,15,10,23,33,18,50,41,6,2,1060,26,40,35,2.3,10,6,0,0,1,1,3,50,49,1,2022BU00141102,2022
BU00140107,Laanhuizen,WK001401,GM0014,Groningen,1,NEE,9727,1,3495,1,6133,1265,625,630,5,30,40,16,8,81,12,5,2,860,65,27,8,1.5,11,7,0,1,1,0,5,21,21,0,2022BU00140107,2022
BU00141604,Wittewierum,WK001416,GM0014,Groningen,1,NEE,9792,1,18,5,96,70,40,35,4,14,17,41,23,41,49,4,6,30,31,38,31,2.2,3,0,-99999999,-99999999,-99999999,-99999999,-99999999,72,72,0,2022BU00141604,2022
BU00141106,Koningslaagte,WK001411,GM0014,Groningen,1,NEE,9738,1,214,5,11,75,40,35,15,13,24,21,27,47,45,5,3,30,20,47,33,2.5,5,1,-99999999,-99999999,-99999999,-99999999,-99999999,698,686,12,2022BU00141106,2022
BU00140801,Hoogkerk-Zuid,WK001408,GM0014,Groningen,1,NEE,9744,1,893,4,2384,5235,2565,2670,17,11,24,26,22,49,37,8,6,2435,36,30,34,2.1,8,6,0,1,1,1,4,250,220,30,2022BU00140801,2022
BU00140500,De Linie,WK001405,GM0014,Groningen,1,NEE,9723,1,3313,1,8776,945,500,450,19,13,34,26,7,66,28,5,1,435,38,28,34,2.2,17,8,0,0,0,1,7,12,11,1,2022BU00140500,2022
BU00141707,Paterswoldsemeer,WK001417,GM0014,Groningen,1,NEE,9752,1,187,5,122,235,110,120,11,10,11,30,38,40,45,8,7,105,23,49,29,2.2,7,3,-99999999,-99999999,-99999999,-99999999,-99999999,466,191,275,2022BU00141707,2022
BU00141204,Ulgersmaborg,WK001412,GM0014,Groningen,1,NEE,9731,1,1635,2,2213,2220,1105,1120,20,10,28,28,15,55,37,6,2,945,25,35,40,2.4,9,9,0,1,1,0,5,105,100,4,2022BU00141204,2022
BU00140900,Vinkhuizen-Noord,WK001409,GM0014,Groningen,1,NEE,9743,1,2875,1,6898,5960,3020,2935,11,25,31,17,15,66,23,7,4,3625,61,22,17,1.6,16,21,2,2,2,2,13,87,86,0,2022BU00140900,2022
BU00141800,Oosterhaar,WK001418,GM0014,Groningen,1,NEE,9753,1,982,4,3860,4255,2080,2170,17,11,20,30,22,47,42,8,4,1830,31,32,37,2.3,7,6,0,0,0,1,5,111,110,0,2022BU00141800,2022
BU00140905,Dorkwerd,WK001409,GM0014,Groningen,1,NEE,9746,1,93,5,38,75,45,30,17,5,25,24,28,51,43,4,3,35,45,37,18,2.0,4,0,-99999999,-99999999,-99999999,-99999999,-99999999,203,200,3,2022BU00140905,2022
BU00141105,Het Witte Lam,WK001411,GM0014,Groningen,1,NEE,9738,1,1076,3,259,45,30,15,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,30,65,15,19,1.7,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,17,17,0,2022BU00141105,2022
BU00140705,Bruilweering,WK001407,GM0014,Groningen,1,NEE,9728,3,339,5,276,35,25,10,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,25,76,4,20,1.4,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,13,13,0,2022BU00140705,2022
BU00141202,Lewenborg-West,WK001412,GM0014,Groningen,1,NEE,9732,1,1474,3,3313,1755,860,900,16,13,28,24,20,54,35,8,3,855,38,31,31,2.1,11,11,0,2,2,1,6,55,53,2,2022BU00141202,2022
BU00141708,Buitengebied Haren-Zuidoost,WK001417,GM0014,Groningen,1,NEE,9751,5,145,5,290,375,185,195,13,12,11,36,28,45,46,6,3,155,18,44,37,2.5,7,5,0,1,1,0,3,130,130,0,2022BU00141708,2022
BU00141905,Buitengebied Noordlaren,WK001419,GM0014,Groningen,1,NEE,9479,1,34,5,26,160,85,80,6,7,10,33,44,37,54,4,4,80,27,54,19,2.0,5,2,-99999999,-99999999,-99999999,-99999999,-99999999,644,630,14,2022BU00141905,2022
BU00141001,Paddepoel-Zuid,WK001410,GM0014,Groningen,1,NEE,9742,1,4964,1,9622,5245,2590,2650,15,20,33,19,14,71,18,7,3,3030,62,16,21,1.7,10,27,2,4,3,2,15,56,55,1,2022BU00141001,2022
BU00140008,Stationsgebied,WK001400,GM0014,Groningen,1,NEE,9726,1,5751,1,2839,365,165,200,0,65,10,7,17,79,13,5,3,330,90,9,1,1.1,51,14,0,3,0,1,10,15,13,2,2022BU00140008,2022
BU00141903,Buitengebied Glimmen,WK001419,GM0014,Groningen,1,NEE,9756,1,95,5,73,270,130,145,7,10,11,36,36,38,42,13,7,130,33,43,24,2.0,10,2,-99999999,-99999999,-99999999,-99999999,-99999999,388,375,13,2022BU00141903,2022
BU00140902,Hoendiep,WK001409,GM0014,Groningen,1,NEE,9743,1,1781,2,223,110,65,45,8,20,25,30,17,51,37,9,3,65,50,31,19,1.8,10,15,0,2,2,0,12,53,50,3,2022BU00140902,2022
BU00141209,Noorddijk,WK001412,GM0014,Groningen,1,NEE,9734,1,812,4,44,95,45,55,8,15,14,31,31,40,51,3,6,45,33,40,27,2.2,5,1,-99999999,-99999999,-99999999,-99999999,-99999999,224,219,6,2022BU00141209,2022
BU00140201,Noorderplantsoenbuurt,WK001402,GM0014,Groningen,1,NEE,9717,1,6307,1,15343,3835,1835,2000,6,31,35,19,9,83,12,5,1,2695,71,21,9,1.4,20,8,0,1,1,0,6,25,25,0,2022BU00140201,2022
BU00140100,De Meeuwen,WK001401,GM0014,Groningen,1,NEE,9723,1,4369,1,6785,1480,710,775,9,29,24,20,17,69,23,6,2,995,68,20,12,1.5,30,8,0,1,1,0,6,23,22,1,2022BU00140100,2022
BU00141104,Noorderhoogebrug,WK001411,GM0014,Groningen,1,NEE,9738,1,1194,3,558,270,140,130,11,15,16,38,20,52,36,8,4,130,40,33,27,2.0,6,4,0,1,1,0,2,51,49,2,2022BU00141104,2022
BU00140109,Martini Trade Park,WK001401,GM0014,Groningen,1,NEE,9727,1,2790,1,175,45,10,35,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,40,100,0,0,1.1,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,25,25,0,2022BU00140109,2022
BU00140510,Roodehaan,WK001405,GM0014,Groningen,1,NEE,9723,1,18,5,13,25,15,15,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,15,43,43,14,1.8,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,195,191,4,2022BU00140510,2022
BU00141000,Selwerd,WK001410,GM0014,Groningen,1,NEE,9741,1,4206,1,7155,5900,2910,2990,12,28,26,17,17,68,19,7,5,3710,67,17,16,1.6,12,26,2,3,3,2,16,84,82,1,2022BU00141000,2022
BU00141401,Harkstede GN,WK001414,GM0014,Groningen,1,NEE,9614,1,106,5,27,205,105,95,20,15,17,31,18,57,32,7,4,85,38,25,37,2.4,8,7,0,2,0,0,4,813,769,44,2022BU00141401,2022
BU00141302,Klein Harkstede,WK001413,GM0014,Groningen,1,NEE,9723,1,291,5,495,75,35,40,19,4,17,37,23,42,51,4,3,35,16,50,34,2.4,4,1,-99999999,-99999999,-99999999,-99999999,-99999999,19,16,3,2022BU00141302,2022
BU00140404,Damsterbuurt,WK001404,GM0014,Groningen,1,NEE,9713,1,3840,1,2731,750,395,355,5,32,39,15,9,84,9,5,2,580,79,14,7,1.3,13,13,1,3,2,0,8,37,27,10,2022BU00140404,2022
BU00140104,Grunobuurt,WK001401,GM0014,Groningen,1,NEE,9727,1,3693,1,9866,2160,1060,1095,7,24,44,16,9,80,12,6,2,1520,69,20,11,1.4,14,11,0,2,1,0,8,23,22,1,2022BU00140104,2022
BU00140903,Friesestraatweg,WK001409,GM0014,Groningen,1,NEE,9743,1,3735,1,4365,810,450,365,3,37,56,3,1,91,6,3,0,570,65,30,5,1.4,20,16,0,2,1,1,11,21,19,3,2022BU00140903,2022
BU00141210,Ruischerbrug,WK001412,GM0014,Groningen,1,NEE,9734,1,1047,3,2484,475,225,250,17,9,22,27,25,43,42,6,9,220,34,34,32,2.1,8,7,0,0,1,2,4,26,19,7,2022BU00141210,2022
BU00141901,Onnen Dorp,WK001419,GM0014,Groningen,1,NEE,9755,1,89,5,1127,435,215,225,16,10,16,37,21,41,49,6,3,175,23,34,43,2.5,6,1,-99999999,-99999999,-99999999,-99999999,-99999999,39,39,0,2022BU00141901,2022
