SCHOOL_ID,DATUM,INSTELLINGSNAAM_VESTIGING,POSTCODE_VESTIGING,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,PROVINCIE,SOORT_PO,DENOMINATIE_VESTIGING,BEVOEGD_GEZAG_NUMMER,EXAMEN,EXAMEN_AANTAL,EXAMEN_GEM
119AG_2017,2017,Obs De Gouw,1504AL,ZAANDAM,479,Zaanstad,Noord-Holland,Bo,Openbaar,41852,CET,29,520.48275862069
019AI_2017,2017,OBS De Kaap,1091NG,AMSTERDAM,363,Amsterdam,Noord-Holland,Bo,Openbaar,41774,CET,15,527.533333333333
019AM_2017,2017,OBS Stegeman,7101CE,WINTERSWIJK,294,Winterswijk,Gelderland,Bo,Openbaar,41494,IEP,26,79.89848225489101
019AO_2017,2017,Obs De Spiegel,1503BK,ZAANDAM,479,Zaanstad,Noord-Holland,Bo,Openbaar,41852,CET,23,531.260869565217
019AQ_2017,2017,OBS De Dapper,1093XG,AMSTERDAM,363,Amsterdam,Noord-Holland,Bo,Openbaar,41774,CET,16,526.25
019AS_2017,2017,BS Theresia,5652EN,EINDHOVEN,772,Eindhoven,Noord-Brabant,Bo,Rooms-Katholiek,40378,IEP,20,82.67403294034841
019AT_2017,2017,RK BS Het Tweespan,2676BJ,MAASDIJK,1783,Westland,Zuid-Holland,Bo,Rooms-Katholiek,20671,CET,41,529.90243902439
019AV_2017,2017,OBS T Walien,7105CD,WINTERSWIJK HUPPEL,294,Winterswijk,Gelderland,Bo,Openbaar,41494,CET,16,536.5
019AX_2017,2017,OBS Kogerveld,1508AW,ZAANDAM,479,Zaanstad,Noord-Holland,Bo,Openbaar,41852,CET,16,530.5
019AZ_2017,2017,Corantijn,1058DD,AMSTERDAM,363,Amsterdam,Noord-Holland,Bo,Openbaar,41663,CET,18,535.833333333333
019BA_2017,2017,OBS de Bongerd,6714JV,EDE GLD,228,Ede,Gelderland,Bo,Openbaar,41674,CET,5,534.2
019BB_2017,2017,De Schelp,5628KC,EINDHOVEN,772,Eindhoven,Noord-Brabant,Bo,Rooms-Katholiek,40378,CET,25,535.12
019BC_2017,2017,OBS Woold,7108BM,WINTERSWIJK WOOLD,294,Winterswijk,Gelderland,Bo,Openbaar,41494,CET,9,539.222222222222
