BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LJ8_13;ZIT_13;ZITPERC_13;ZITPERC_LJ_13;LJ8_14;ZIT_14;ZITPERC_14;ZITPERC_LJ_14;LJ8_15;ZIT_15;ZITPERC_15;ZITPERC_LJ_15;LJ8_16;ZIT_16;ZITPERC_16;ZITPERC_LJ_16;LJ8_17;ZIT_17;ZITPERC_17;ZITPERC_LJ_17;LJ8_18;ZIT_18;ZITPERC_18;ZITPERC_LJ_18;LJ8_19;ZIT_19;ZITPERC_19;ZITPERC_LJ_19
08IS;00;OBS De Uitkijktoren;6002TZ;WEERT; 988;Weert;Limburg;Bo;Openbaar;42538;17;3;,176470588235294;,0220588235294118;20;6;,3;,0375;25;8;,32;,04;19;5;,263157894736842;,0328947368421053;15;3;,2;,025;19;2;,105263157894737;,0131578947368421;19;6;,315789473684211;,0394736842105263
08IT;00;De Tandem;3402HP;IJSSELSTEIN UT; 353;IJsselstein;Utrecht;Bo;Openbaar;41792;29;4;,137931034482759;,0172413793103448;26;4;,153846153846154;,0192307692307692;25;3;,12;,015;25;5;,2;,025;25;7;,28;,035;18;3;,166666666666667;,0208333333333333;21;3;,142857142857143;,0178571428571429
08IU;00;Basisschool de Mammoet;7021KT;ZELHEM;1876;Bronckhorst;Gelderland;Bo;Openbaar;22091;6;0;0;0;7;4;,571428571428571;,0714285714285714;8;0;0;0;6;0;0;0;2;1;,5;,0625;0;0; ; ;0;0; ; 
08IV;00;Ollie B Bommel;3258AR;DEN BOMMEL;1924;Goeree-Overflakkee;Zuid-Holland;Bo;Openbaar;41502;12;1;,0833333333333333;,0104166666666667;10;2;,2;,025;12;0;0;0;10;1;,1;,0125;8;0;0;0;13;1;,0769230769230769;,00961538461538462;11;3;,272727272727273;,0340909090909091
08IW;00;De Overhael;1844KL;DRIEHUIZEN; 361;Alkmaar;Noord-Holland;Bo;Openbaar;41191;15;3;,2;,025;13;1;,0769230769230769;,00961538461538462;16;5;,3125;,0390625;11;1;,0909090909090909;,0113636363636364;12;1;,0833333333333333;,0104166666666667;10;2;,2;,025;7;1;,142857142857143;,0178571428571429
08JC;00;Rehobothsch;2743GC;WADDINXVEEN; 627;Waddinxveen;Zuid-Holland;Bo;Reformatorisch;20243;29;2;,0689655172413793;,00862068965517241;24;2;,0833333333333333;,0104166666666667;28;2;,0714285714285714;,00892857142857143;36;2;,0555555555555556;,00694444444444444;23;0;0;0;24;0;0;0;20;0;0;0
08JD;00;Ds Swildenssch;5421TR;GEMERT;1652;Gemert-Bakel;Noord-Brabant;Bo;Protestants-Christelijk;32580;10;1;,1;,0125;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; 
08JE;00;Basisschool De Mijlpaal;5672EE;NUENEN; 820;Nuenen, Gerwen en Nederwetten;Noord-Brabant;Bo;Algemeen bijzonder;41860;46;9;,195652173913043;,0244565217391304;37;4;,108108108108108;,0135135135135135;32;3;,09375;,01171875;31;4;,129032258064516;,0161290322580645;28;0;0;0;24;2;,0833333333333333;,0104166666666667;18;2;,111111111111111;,0138888888888889
08JF;00;Rehobothsch;2985AZ;RIDDERKERK; 597;Ridderkerk;Zuid-Holland;Bo;Reformatorisch;22622;40;9;,225;,028125;40;1;,025;,003125;43;5;,116279069767442;,0145348837209302;32;3;,09375;,01171875;47;8;,170212765957447;,0212765957446809;54;4;,0740740740740741;,00925925925925926;29;1;,0344827586206897;,00431034482758621
08JH;00;GBS De Parel;9202CN;DRACHTEN;  90;Smallingerland;Friesland;Bo;Gereformeerd vrijgemaakt;42607;44;8;,181818181818182;,0227272727272727;47;4;,0851063829787234;,0106382978723404;33;0;0;0;46;2;,0434782608695652;,00543478260869565;39;5;,128205128205128;,016025641025641;35;3;,0857142857142857;,0107142857142857;34;4;,117647058823529;,0147058823529412
08JH;01;GBS De Parel;8862BE;HARLINGEN;  72;Harlingen;Friesland;Bo;Gereformeerd vrijgemaakt;42607;6;0;0;0;1;0;0;0;2;0;0;0;0;0; ; ;10;3;,3;,0375;0;0; ; ;0;0; ; 
08JJ;00;Basissch De Heihorst;6089NP;HEIBLOEM;1640;Leudal;Limburg;Bo;Rooms-Katholiek;23961;11;2;,181818181818182;,0227272727272727;11;1;,0909090909090909;,0113636363636364;14;2;,142857142857143;,0178571428571429;10;0;0;0;8;0;0;0;10;3;,3;,0375;8;1;,125;,015625
08JL;00;Johannes Calvynsch;2922HG;KRIMPEN AAN DEN IJSSEL; 542;Krimpen aan den IJssel;Zuid-Holland;Bo;Reformatorisch;25196;40;3;,075;,009375;30;4;,133333333333333;,0166666666666667;36;4;,111111111111111;,0138888888888889;31;4;,129032258064516;,0161290322580645;39;6;,153846153846154;,0192307692307692;35;2;,0571428571428571;,00714285714285714;36;5;,138888888888889;,0173611111111111
08JM;00;Het Kompas;7711GC;NIEUWLEUSEN; 148;Dalfsen;Overijssel;Bo;Protestants-Christelijk;41651;5;0;0;0;11;2;,181818181818182;,0227272727272727;12;3;,25;,03125;12;3;,25;,03125;10;1;,1;,0125;5;0;0;0;7;1;,142857142857143;,0178571428571429
08JO;00;Kath BS De Lunetten;1965GG;HEEMSKERK; 396;Heemskerk;Noord-Holland;Bo;Rooms-Katholiek;26158;63;2;,0317460317460317;,00396825396825397;64;3;,046875;,005859375;64;4;,0625;,0078125;56;2;,0357142857142857;,00446428571428571;46;1;,0217391304347826;,00271739130434783;63;9;,142857142857143;,0178571428571429;49;7;,142857142857143;,0178571428571429
08JP;00;De Zevensprong;4413ET;KRABBENDIJKE; 703;Reimerswaal;Zeeland;Bo;Protestants-Christelijk;41582;19;2;,105263157894737;,0131578947368421;21;1;,0476190476190476;,00595238095238095;19;3;,157894736842105;,0197368421052632;20;2;,1;,0125;27;0;0;0;26;1;,0384615384615385;,00480769230769231;28;0;0;0
08JQ;00;Basissch Vilt;6325BD;BERG EN TERBLIJT; 994;Valkenburg aan de Geul;Limburg;Bo;Rooms-Katholiek;41506;9;0;0;0;12;2;,166666666666667;,0208333333333333;10;1;,1;,0125;10;1;,1;,0125;10;0;0;0;0;0; ; ;0;0; ; 
