PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;REKENEN_LAGER1F;REKENEN_1F;REKENEN_1S;REKENEN_2F;LV_LAGER1F;LV_1F;LV_2F;TV_LAGER1F;TV_1F;TV_2F
20170415;11NH;0;Basisschool De Vonder;5712CA;SOMEREN;847;Someren;Noord-Brabant;Bo;Rooms-Katholiek;41223;3;13;14;0;0;13;17;1;11;18
20170415;11NM;0;OBS De Jint;9051RB;STIENS;81;Leeuwarderadeel;Friesland;Bo;Openbaar;41693;0;15;11;0;0;7;19;1;16;9
20170415;11NN;0;OBS De Ent;9627PN;HELLUM;40;Slochteren;Groningen;Bo;Openbaar;41779;0;0;0;0;0;0;0;0;0;0
20170415;11NT;0;OBS De Berkel;7157BR;REKKEN;1859;Berkelland;Gelderland;Bo;Openbaar;41413;1;8;10;0;1;5;13;0;7;12
20170415;11NU;0;Comeniusschool;1412BW;NAARDEN;1942;Gooise Meren;Noord-Holland;Bo;Openbaar;41376;1;11;13;0;1;7;17;3;5;17
20170415;11OA;0;Omnis school de Linden;4431EP;'S-GRAVENPOLDER;654;Borsele;Zeeland;Bo;Openbaar;42634;0;6;0;3;1;2;6;1;7;1
20170415;11OA;3;Obs de Linden;4443AP;NISSE;654;Borsele;Zeeland;Bo;Openbaar;42634;0;0;0;0;0;0;0;0;0;0
20170415;11OA;4;Omnis school Franck v Borssele;4454BH;BORSSELE;654;Borsele;Zeeland;Bo;Openbaar;42634;0;0;0;0;0;0;0;0;0;0
20170415;11OB;0;Gouden Kraal;1275AB;HUIZEN;406;Huizen;Noord-Holland;Bo;Openbaar;41376;4;13;8;0;1;7;17;0;16;9
20170415;11OC;0;obs De Achtsprong;3448CH;WOERDEN;632;Woerden;Utrecht;Bo;Openbaar;41527;1;11;10;0;2;11;9;2;13;7
20170415;11OD;0;OBS Aquaramijn;8251LD;DRONTEN;303;Dronten;Flevoland;Bo;Openbaar;41813;0;0;0;0;0;0;0;0;0;0
20170415;11OE;0;De Reigersberg;4411AR;RILLAND;703;Reimerswaal;Zeeland;Bo;Openbaar;41778;0;3;4;0;1;3;3;1;2;4
20170415;11OH;0;Willem Alexanderschool;3443CV;WOERDEN;632;Woerden;Utrecht;Bo;Protestants-Christelijk;41286;0;6;17;0;0;3;20;0;8;15
20170415;11OJ;0;Sint Jan;3112RK;SCHIEDAM;606;Schiedam;Zuid-Holland;Bo;Rooms-Katholiek;22725;4;8;2;3;2;6;9;1;12;4
20170415;11ON;0;Basisschool Pius X;7481GP;HAAKSBERGEN;158;Haaksbergen;Overijssel;Bo;Rooms-Katholiek;25351;0;3;19;0;0;4;18;0;2;20
20170415;11OQ;0;CBS Albert Schweitzer;2131VN;HOOFDDORP;394;Haarlemmermeer;Noord-Holland;Bo;Protestants-Christelijk;42683;0;6;9;0;0;5;10;1;6;8
20170415;11OR;0;Basisschool Mikado;7552VG;HENGELO OV;164;Hengelo;Overijssel;Bo;Protestants-Christelijk;27910;1;15;15;0;0;16;15;0;8;23
20170415;11OS;0;Chr Bso Ds Buskensschool;3069XJ;ROTTERDAM;599;Rotterdam;Zuid-Holland;Bo;Protestants-Christelijk;74531;6;33;12;0;1;24;26;2;27;22
20170415;11OT;0;RK Basissch Spinnewiel;2401GH;ALPHEN AAN DEN RIJN;484;Alphen aan den Rijn;Zuid-Holland;Bo;Rooms-Katholiek;28601;1;4;6;0;0;2;9;0;6;5
20170415;11OU;0;Dr Maarten Lutherschool;7715PM;PUNTHORST;180;Staphorst;Overijssel;Bo;Reformatorisch;29056;1;8;6;0;1;4;10;1;7;7
20170415;11OW;0;Koningin Julianaschool;2678ER;DE LIER;1783;Westland;Zuid-Holland;Bo;Protestants-Christelijk;41454;1;14;12;0;0;11;16;2;10;15
20170415;11OX;0;Nicolaas Beetsschool;2103VR;HEEMSTEDE;397;Heemstede;Noord-Holland;Bo;Protestants-Christelijk;85255;0;15;1;23;0;2;37;0;18;21
20170415;11PD;0;Sabina van Egmond;3261AT;OUD-BEIJERLAND;584;Oud-Beijerland;Zuid-Holland;Bo;Protestants-Christelijk;41127;4;22;2;17;0;15;30;0;19;26
20170415;11PE;0;Basissch de Loysderhoek;3832JN;LEUSDEN;327;Leusden;Utrecht;Bo;Protestants-Christelijk;41886;2;7;2;0;1;4;6;2;6;3
20170415;11PJ;0;Basisschool Prins Floris;6715KD;EDE GLD;228;Ede;Gelderland;Bo;Protestants-Christelijk;42587;0;13;14;0;0;6;21;0;9;18
20170415;11PL;0;Rehoboth School;2221NT;KATWIJK ZH;537;Katwijk;Zuid-Holland;Bo;Protestants-Christelijk;43980;1;20;12;0;1;12;20;0;11;22
20170415;11PM;0;De Ark;8016AX;ZWOLLE;193;Zwolle;Overijssel;Bo;Protestants-Christelijk;40934;3;13;29;0;1;9;35;0;12;33
20170415;11PN;0;Het Spectrum;3143AA;MAASSLUIS;556;Maassluis;Zuid-Holland;Bo;Protestants-Christelijk;41338;4;28;0;12;0;13;31;0;30;14
20170415;11PP;0;Basisschool Doelakkers;5081XM;HILVARENBEEK;798;Hilvarenbeek;Noord-Brabant;Bo;Rooms-Katholiek;40941;1;9;8;0;0;4;14;3;5;10
20170415;11PS;0;De Rank;1689KZ;ZWAAG;405;Hoorn;Noord-Holland;Bo;Protestants-Christelijk;31657;1;16;14;0;2;7;22;2;7;22
20170415;11PT;0;Octopus;5427AL;BOEKEL;755;Boekel;Noord-Brabant;Bo;Rooms-Katholiek;32580;2;22;1;23;1;9;38;0;18;30
20170415;11PW;0;BS Antares;5044JR;TILBURG;855;Tilburg;Noord-Brabant;Bo;Rooms-Katholiek;48101;3;11;5;0;2;13;4;2;9;8
20170415;11QB;0;Franciscusschool;3607NZ;MAARSSEN;1904;Stichtse Vecht;Utrecht;Bo;Rooms-Katholiek;52131;2;20;11;5;0;6;32;0;19;19
20170415;11QC;0;CBS De Triangel;8303XL;EMMELOORD;171;Noordoostpolder;Flevoland;Bo;Protestants-Christelijk;52274;0;19;10;0;0;10;19;0;18;11
20170415;11QD;0;De Regenboog;8321XG;URK;184;Urk;Flevoland;Bo;Protestants-Christelijk;53015;1;8;1;17;1;5;21;1;9;17
20170415;11QG;0;Basisschool de Vlieberg;1785SH;DEN HELDER;400;Den Helder;Noord-Holland;Bo;Rooms-Katholiek;55238;4;18;6;0;0;10;18;4;16;8
20170415;11QH;0;De Hoeksteen;3137CR;VLAARDINGEN;622;Vlaardingen;Zuid-Holland;Bo;Rooms-Katholiek;22725;2;11;0;9;0;4;18;0;9;13
20170415;11QK;0;Lucas Batau;3437CA;NIEUWEGEIN;356;Nieuwegein;Utrecht;Bo;Rooms-Katholiek;77975;6;26;8;0;3;16;21;2;24;14
20170415;11QK;2;Christoffel;3437CA;NIEUWEGEIN;356;Nieuwegein;Utrecht;Bo;Rooms-Katholiek;77975;2;8;0;0;0;6;4;0;8;2
20170415;11QL;0;Basissch de Dobbelsteen;5975BK;SEVENUM;1507;Horst aan de Maas;Limburg;Bo;Rooms-Katholiek;47920;0;9;21;0;0;6;24;0;12;18
20170415;11QN;0;Paulus School;8313AH;RUTTEN;171;Noordoostpolder;Flevoland;Bo;Rooms-Katholiek;40662;2;7;2;0;0;6;5;1;9;1
20170415;11QO;0;De Adamshof;4001DB;TIEL;281;Tiel;Gelderland;Bo;Rooms-Katholiek;41148;3;15;6;0;0;16;8;2;12;10
20170415;11QQ;0;Basisschool de Spinmolen;1132AB;VOLENDAM;385;Edam-Volendam;Noord-Holland;Bo;Rooms-Katholiek;72853;2;9;19;0;1;10;19;1;10;19
20170415;11QT;0;Franciscus;7572CP;OLDENZAAL;173;Oldenzaal;Overijssel;Bo;Rooms-Katholiek;75219;0;7;14;0;0;3;18;0;6;15
20170415;11QU;0;Basisschool de Polderhof;5345JK;OSS;828;Oss;Noord-Brabant;Bo;Rooms-Katholiek;75388;7;27;22;0;2;18;36;5;19;32
20170415;11QV;0;Basisschool 't Prisma;1442WN;PURMEREND;439;Purmerend;Noord-Holland;Bo;Rooms-Katholiek;41012;4;18;5;0;1;18;8;3;16;8
20170415;11QW;0;RK Bs de Kinderburg;2171AZ;SASSENHEIM;1525;Teylingen;Zuid-Holland;Bo;Rooms-Katholiek;40967;2;15;8;0;0;11;14;4;10;11
20170415;11QX;0;KBS De Toermalijn;3332HW;ZWIJNDRECHT;642;Zwijndrecht;Zuid-Holland;Bo;Rooms-Katholiek;46385;0;14;14;3;0;6;25;0;11;20
20170415;11QY;0;KBs De Schakel;3445CJ;WOERDEN;632;Woerden;Utrecht;Bo;Rooms-Katholiek;70002;0;24;33;0;0;13;44;1;12;44
20170415;11QZ;0;RK Basisschool Jacoba;2101BA;HEEMSTEDE;397;Heemstede;Noord-Holland;Bo;Rooms-Katholiek;40775;0;10;2;16;0;0;28;0;10;18
20170415;11RC;0;Julianaschool;6721ZJ;BENNEKOM;228;Ede;Gelderland;Bo;Protestants-Christelijk;42587;4;7;8;0;1;6;12;3;4;12
20170415;11RD;0;Chr Bs e Wegwijzer;3752AN;BUNSCHOTEN-SPAKENBURG;313;Bunschoten;Utrecht;Bo;Protestants-Christelijk;83149;1;12;10;0;0;4;19;0;8;15
20170415;11RF;0;Maarten Lutherschool;8281ZT;GENEMUIDEN;1896;Zwartewaterland;Overijssel;Bo;Protestants-Christelijk;84579;1;10;0;13;0;3;21;0;14;10
20170415;11RG;0;de Boomladder;1702TG;HEERHUGOWAARD;398;Heerhugowaard;Noord-Holland;Bo;Protestants-Christelijk;73919;8;26;3;8;1;11;33;1;23;21
20170415;11RH;0;Rehobothschool;1276NA;HUIZEN;406;Huizen;Noord-Holland;Bo;Protestants-Christelijk;41293;2;14;5;0;1;11;9;2;10;9
20170415;11RI;0;CBS Van Panhuys;9351XZ;LEEK;22;Leek;Groningen;Bo;Protestants-Christelijk;41571;0;14;18;0;0;8;24;0;10;22
20170415;11RJ;0;CBS Juliana;4141EA;LEERDAM;545;Leerdam;Zuid-Holland;Bo;Protestants-Christelijk;41396;1;7;12;0;0;1;19;0;4;16
20170415;11RK;0;Maranathaschool;3862GV;NIJKERK GLD;267;Nijkerk;Gelderland;Bo;Protestants-Christelijk;89155;4;14;8;0;0;11;15;0;12;14
20170415;11RL;0;Talentrijk;7442ZC;NIJVERDAL;163;Hellendoorn;Overijssel;Bo;Protestants-Christelijk;85600;3;21;6;0;2;20;8;2;18;10
20170415;11RO;0;De Olijfboom;3931XK;WOUDENBERG;351;Woudenberg;Utrecht;Bo;Protestants-Christelijk;93419;3;14;10;0;0;11;16;1;11;15
20170415;11RP;0;Madelief;5235LD;'S-HERTOGENBOSCH;796;'s-Hertogenbosch;Noord-Brabant;Bo;Algemeen bijzonder;41672;6;25;5;3;2;10;27;1;27;11
20170415;11RR;0;Willem Alexanderschool;8331RV;STEENWIJK;1708;Steenwijkerland;Overijssel;Bo;Protestants-Christelijk;41270;2;6;0;5;0;6;7;0;6;7
20170415;11RS;0;De Zonneboom;7004EL;DOETINCHEM;222;Doetinchem;Gelderland;Bo;Algemeen bijzonder;41011;5;12;1;6;0;8;16;0;15;9
20170415;11RT;0;Obs de Zuidooster;1432JT;AALSMEER;358;Aalsmeer;Noord-Holland;Bo;Openbaar;41544;0;29;44;0;0;16;57;0;24;49
20170415;11RU;0;Obs De Lijster;3772AA;BARNEVELD;203;Barneveld;Gelderland;Bo;Openbaar;41481;3;8;10;0;1;12;8;1;9;11
20170415;11RW;0;Dr. J. v.d. Hoevenschool;7214AJ;EPSE;262;Lochem;Gelderland;Bo;Openbaar;42561;2;6;8;0;0;3;13;2;6;8
20170415;11RX;0;Jan Ligthartschool;8191AJ;WAPENVELD;246;Heerde;Gelderland;Bo;Openbaar;41345;1;4;1;4;0;1;9;0;5;5
20170415;11RY;0;Feiko Clockschool;9665HT;OUDE PEKELA;765;Pekela;Groningen;Bo;Openbaar;41613;1;10;16;0;0;9;18;0;8;19
20170415;11RZ;0;De Wilgen;3362GH;SLIEDRECHT;610;Sliedrecht;Zuid-Holland;Bo;Openbaar;41560;4;19;3;18;0;20;24;0;22;22
20170415;11SI;0;Obs Valckesteyn;3171AH;POORTUGAAL;613;Albrandswaard;Zuid-Holland;Bo;Openbaar;41456;2;16;24;0;1;10;31;0;15;27
20170415;11SJ;0;Obs De Tweesprong;4817NX;BREDA;758;Breda;Noord-Brabant;Bo;Openbaar;41869;0;15;17;0;0;9;23;0;9;23
20170415;11SK;0;Basissch Jul v Stolberg;1901CE;CASTRICUM;383;Castricum;Noord-Holland;Bo;Openbaar;41191;0;17;0;17;0;4;30;0;20;14
20170415;11SO;0;OBS De Fuik;1127PH;DEN ILP;415;Landsmeer;Noord-Holland;Bo;Openbaar;41434;0;1;5;0;0;1;5;0;2;4
20170415;11SX;0;Basisschool de Hobbit;3833EA;LEUSDEN;327;Leusden;Utrecht;Bo;Openbaar;41886;2;15;12;0;1;8;20;2;12;15
20170415;11SY;0;De Phoenix;3181PX;ROZENBURG ZH;599;Rotterdam;Zuid-Holland;Bo;Openbaar;41775;3;9;11;0;1;7;15;1;5;17
20170415;11TC;0;Basisschool De Lepelaar;8371WG;SCHEERWOLDE;1708;Steenwijkerland;Overijssel;Bo;Openbaar;41816;0;0;0;0;0;0;0;0;0;0
20170415;11TD;0;De Meiboom;8721GT;WARNS;1900;S∑dwest-Frysl‘n;Friesland;Bo;Openbaar;41856;0;4;0;5;0;0;9;0;4;5
20170415;11TI;0;De Akker;1716VA;OPMEER;432;Opmeer;Noord-Holland;Bo;Openbaar;41421;0;6;0;4;0;2;8;0;3;7
20170415;11TN;0;OBS De Voshaar;7273SL;HAARLO;1859;Berkelland;Gelderland;Bo;Openbaar;41413;0;2;7;0;0;1;8;0;1;8
20170415;11TQ;0;Obs A Bosschool;8124AJ;WESEPE;1773;Olst-Wijhe;Overijssel;Bo;Openbaar;41491;1;1;5;0;0;1;6;0;4;3
20170415;11TR;0;Julianaschool;1741CL;SCHAGEN;441;Schagen;Noord-Holland;Bo;Openbaar;41438;3;12;1;19;0;5;30;1;14;20
20170415;11TX;0;Obs de Driemaster;3371PN;HARDINXVELD-GIESSENDAM;523;Hardinxveld-Giessendam;Zuid-Holland;Bo;Openbaar;41386;3;10;3;15;1;8;22;2;8;21
20170415;11TY;0;De Stroom;5704HZ;HELMOND;794;Helmond;Noord-Brabant;Bo;Openbaar;41349;3;2;7;0;1;7;4;0;6;6
20170415;11TZ;0;Basisschool Tweespan;8531MV;LEMMER;1940;De Fryske Marren;Friesland;Bo;Openbaar;41856;0;9;0;9;0;2;16;0;3;15
20170415;11UA;0;Obs Cadzand;4506BC;CADZAND;1714;Sluis;Zeeland;Bo;Openbaar;41637;0;2;0;4;0;0;6;0;3;3
20170415;11UB;0;Delfshaven;3024CS;ROTTERDAM;599;Rotterdam;Zuid-Holland;Bo;Openbaar;41775;2;21;7;0;1;20;9;0;24;6
20170415;11UC;0;Basisschool de Boswaid;1934GN;EGMOND AAN DEN HOEF;373;Bergen (NH.);Noord-Holland;Bo;Openbaar;41191;1;8;0;9;0;3;15;0;4;14
20170415;11UD;0;De Kaardebol;4102KN;CULEMBORG;216;Culemborg;Gelderland;Bo;Openbaar;41876;2;13;15;0;0;8;22;0;10;20
