"ID";"Geslacht";"Leeftijd";"Nationaliteit";"RegioS";"Perioden";"Bevolking_1"
"2702446";"T001038";"70200";"NAT9417";"GM0363";"2021JJ00";"83"
"2724398";"T001038";"70200";"NAT9418";"GM0363";"2021JJ00";"112"
"2746350";"T001038";"70200";"NAT9440";"GM0363";"2021JJ00";"195"
"2768302";"T001038";"70200";"NAT9442";"GM0363";"2021JJ00";"31"
"2790254";"T001038";"70200";"NAT9444";"GM0363";"2021JJ00";"222"
"2812206";"T001038";"70200";"NAT9448";"GM0363";"2021JJ00";"4"
"2834158";"T001038";"70200";"NAT9458";"GM0363";"2021JJ00";"323"
"2856110";"T001038";"70200";"NAT9475";"GM0363";"2021JJ00";"292"
"2878062";"T001038";"70200";"NAT9476";"GM0363";"2021JJ00";"62"
"2900014";"T001038";"70200";"NAT9477";"GM0363";"2021JJ00";"183"
"2921966";"T001038";"70200";"NAT9478";"GM0363";"2021JJ00";"317"
"2943918";"T001038";"70200";"NAT9480";"GM0363";"2021JJ00";"91"
"2965870";"T001038";"70300";"T001059";"GM0363";"2021JJ00";"39165"
"2987822";"T001038";"70300";"NAT9489";"GM0363";"2021JJ00";"3624"
"3009774";"T001038";"70300";"NAT9267";"GM0363";"2021JJ00";"35541"
"3031726";"T001038";"70300";"NAT9269";"GM0363";"2021JJ00";"551"
"3053678";"T001038";"70300";"NAT9270";"GM0363";"2021JJ00";"328"
"3075630";"T001038";"70300";"NAT9271";"GM0363";"2021JJ00";"509"
"3097582";"T001038";"70300";"NAT9272";"GM0363";"2021JJ00";"2155"
"3119534";"T001038";"70300";"NAT9274";"GM0363";"2021JJ00";"28"
"3141486";"T001038";"70300";"NAT9275";"GM0363";"2021JJ00";"1468"
"3163438";"T001038";"70300";"NAT9277";"GM0363";"2021JJ00";"509"
"3185390";"T001038";"70300";"NAT9481";"GM0363";"2021JJ00";"438"
"3207342";"T001038";"70300";"NAT9482";"GM0363";"2021JJ00";"2138"
"3229294";"T001038";"70300";"NAT9483";"GM0363";"2021JJ00";"1433"
"3251246";"T001038";"70300";"NAT9281";"GM0363";"2021JJ00";"183"
"3273198";"T001038";"70300";"NAT9292";"GM0363";"2021JJ00";"41"
"3295150";"T001038";"70300";"NAT9300";"GM0363";"2021JJ00";"36"
"3317102";"T001038";"70300";"NAT9301";"GM0363";"2021JJ00";"269"
"3339054";"T001038";"70300";"NAT9303";"GM0363";"2021JJ00";"251"
"3361006";"T001038";"70300";"NAT9322";"GM0363";"2021JJ00";"181"
"3382958";"T001038";"70300";"NAT9310";"GM0363";"2021JJ00";"51"
"3404910";"T001038";"70300";"NAT9326";"GM0363";"2021JJ00";"110"
"3426862";"T001038";"70300";"NAT9332";"GM0363";"2021JJ00";"190"
"3448814";"T001038";"70300";"NAT9338";"GM0363";"2021JJ00";"20"
"3470766";"T001038";"70300";"NAT9345";"GM0363";"2021JJ00";"32"
"3492718";"T001038";"70300";"NAT9346";"GM0363";"2021JJ00";"28"
"3514670";"T001038";"70300";"NAT9348";"GM0363";"2021JJ00";"55"
"3536622";"T001038";"70300";"NAT9349";"GM0363";"2021JJ00";"31"
"3558574";"T001038";"70300";"NAT9350";"GM0363";"2021JJ00";"12"
"3580526";"T001038";"70300";"NAT9353";"GM0363";"2021JJ00";"178"
"3602478";"T001038";"70300";"NAT9356";"GM0363";"2021JJ00";"29"
"3624430";"T001038";"70300";"NAT9387";"GM0363";"2021JJ00";"204"
"3646382";"T001038";"70300";"NAT9415";"GM0363";"2021JJ00";"110"
"3668334";"T001038";"70300";"NAT9416";"GM0363";"2021JJ00";"65"
"3690286";"T001038";"70300";"NAT9417";"GM0363";"2021JJ00";"60"
"3712238";"T001038";"70300";"NAT9418";"GM0363";"2021JJ00";"48"
"3734190";"T001038";"70300";"NAT9440";"GM0363";"2021JJ00";"175"
"3756142";"T001038";"70300";"NAT9442";"GM0363";"2021JJ00";"50"
"3778094";"T001038";"70300";"NAT9444";"GM0363";"2021JJ00";"190"
"3800046";"T001038";"70300";"NAT9448";"GM0363";"2021JJ00";"9"
"3821998";"T001038";"70300";"NAT9458";"GM0363";"2021JJ00";"309"
"3843950";"T001038";"70300";"NAT9475";"GM0363";"2021JJ00";"237"
"3865902";"T001038";"70300";"NAT9476";"GM0363";"2021JJ00";"59"
"3887854";"T001038";"70300";"NAT9477";"GM0363";"2021JJ00";"132"
"3909806";"T001038";"70300";"NAT9478";"GM0363";"2021JJ00";"198"
"3931758";"T001038";"70300";"NAT9480";"GM0363";"2021JJ00";"53"
"3953710";"T001038";"70400";"T001059";"GM0363";"2021JJ00";"41539"
"3975662";"T001038";"70400";"NAT9489";"GM0363";"2021JJ00";"5285"
"3997614";"T001038";"70400";"NAT9267";"GM0363";"2021JJ00";"36254"
"4019566";"T001038";"70400";"NAT9269";"GM0363";"2021JJ00";"728"
"4041518";"T001038";"70400";"NAT9270";"GM0363";"2021JJ00";"404"
"4063470";"T001038";"70400";"NAT9271";"GM0363";"2021JJ00";"691"
"4085422";"T001038";"70400";"NAT9272";"GM0363";"2021JJ00";"3361"
"4107374";"T001038";"70400";"NAT9274";"GM0363";"2021JJ00";"33"
"4129326";"T001038";"70400";"NAT9275";"GM0363";"2021JJ00";"2428"
"4151278";"T001038";"70400";"NAT9277";"GM0363";"2021JJ00";"673"
"4173230";"T001038";"70400";"NAT9481";"GM0363";"2021JJ00";"724"
"4195182";"T001038";"70400";"NAT9482";"GM0363";"2021JJ00";"3264"
"4217134";"T001038";"70400";"NAT9483";"GM0363";"2021JJ00";"1953"
"4239086";"T001038";"70400";"NAT9281";"GM0363";"2021JJ00";"158"
"4261038";"T001038";"70400";"NAT9292";"GM0363";"2021JJ00";"115"
"4282990";"T001038";"70400";"NAT9300";"GM0363";"2021JJ00";"59"
"4304942";"T001038";"70400";"NAT9301";"GM0363";"2021JJ00";"259"
"4326894";"T001038";"70400";"NAT9303";"GM0363";"2021JJ00";"260"
"4348846";"T001038";"70400";"NAT9322";"GM0363";"2021JJ00";"414"
"4370798";"T001038";"70400";"NAT9310";"GM0363";"2021JJ00";"122"
"4392750";"T001038";"70400";"NAT9326";"GM0363";"2021JJ00";"82"
"4414702";"T001038";"70400";"NAT9332";"GM0363";"2021JJ00";"299"
"4436654";"T001038";"70400";"NAT9338";"GM0363";"2021JJ00";"59"
"4458606";"T001038";"70400";"NAT9345";"GM0363";"2021JJ00";"49"
"4480558";"T001038";"70400";"NAT9346";"GM0363";"2021JJ00";"57"
"4502510";"T001038";"70400";"NAT9348";"GM0363";"2021JJ00";"76"
"4524462";"T001038";"70400";"NAT9349";"GM0363";"2021JJ00";"48"
"4546414";"T001038";"70400";"NAT9350";"GM0363";"2021JJ00";"14"
"4568366";"T001038";"70400";"NAT9353";"GM0363";"2021JJ00";"290"
"4590318";"T001038";"70400";"NAT9356";"GM0363";"2021JJ00";"35"
"4612270";"T001038";"70400";"NAT9387";"GM0363";"2021JJ00";"314"
"4634222";"T001038";"70400";"NAT9415";"GM0363";"2021JJ00";"118"
"4656174";"T001038";"70400";"NAT9416";"GM0363";"2021JJ00";"108"
"4678126";"T001038";"70400";"NAT9417";"GM0363";"2021JJ00";"103"
"4700078";"T001038";"70400";"NAT9418";"GM0363";"2021JJ00";"94"
"4722030";"T001038";"70400";"NAT9440";"GM0363";"2021JJ00";"267"
"4743982";"T001038";"70400";"NAT9442";"GM0363";"2021JJ00";"74"
"4765934";"T001038";"70400";"NAT9444";"GM0363";"2021JJ00";"162"
"4787886";"T001038";"70400";"NAT9448";"GM0363";"2021JJ00";"15"
"4809838";"T001038";"70400";"NAT9458";"GM0363";"2021JJ00";"395"
"4831790";"T001038";"70400";"NAT9475";"GM0363";"2021JJ00";"332"
"4853742";"T001038";"70400";"NAT9476";"GM0363";"2021JJ00";"113"
"4875694";"T001038";"70400";"NAT9477";"GM0363";"2021JJ00";"219"
"4897646";"T001038";"70400";"NAT9478";"GM0363";"2021JJ00";"474"
"4919598";"T001038";"70400";"NAT9480";"GM0363";"2021JJ00";"68"
"4941550";"T001038";"70500";"T001059";"GM0363";"2021JJ00";"67669"
"4963502";"T001038";"70500";"NAT9489";"GM0363";"2021JJ00";"15594"
"4985454";"T001038";"70500";"NAT9267";"GM0363";"2021JJ00";"52075"
"5007406";"T001038";"70500";"NAT9269";"GM0363";"2021JJ00";"1050"
"5029358";"T001038";"70500";"NAT9270";"GM0363";"2021JJ00";"992"
"5051310";"T001038";"70500";"NAT9271";"GM0363";"2021JJ00";"2373"
"5073262";"T001038";"70500";"NAT9272";"GM0363";"2021JJ00";"10976"
"5095214";"T001038";"70500";"NAT9274";"GM0363";"2021JJ00";"96"
"5117166";"T001038";"70500";"NAT9275";"GM0363";"2021JJ00";"8499"
