buurtcode,buurtnaam,wijkcode,bevolkingsdichtheid_inwoners_per_km2,aantal_inwoners,mannen,vrouwen,percentage_personen_0_tot_15_jaar,percentage_personen_15_tot_25_jaar,percentage_personen_25_tot_45_jaar,percentage_personen_45_tot_65_jaar,percentage_personen_65_jaar_en_ouder,percentage_ongehuwd,percentage_gehuwd,percentage_gescheid,percentage_verweduwd,geboortes_per_1000_inwoners,aantal_huishoudens,percentage_eenpersoonshuishoudens,percentage_huishoudens_zonder_kinderen,percentage_huishoudens_met_kinderen,gemiddelde_huishoudsgrootte,percentage_westerse_migratieachtergrond,percentage_niet_westerse_migratieachtergrond,percentage_uit_marokko,percentage_uit_nederlandse_antillen_en_aruba,percentage_uit_suriname,percentage_uit_turkije,percentage_overige_nietwestersemigratieachtergrond,aantal_bedrijven_landbouw_bosbouw_visserij,aantal_bedrijven_nijverheid_energie,aantal_bedrijven_handel_en_horeca,aantal_bedrijven_vervoer_informatie_communicatie,aantal_bedrijven_financieel_onroerend_goed,aantal_bedrijven_zakelijke_dienstverlening,aantal_bedrijven_overheid_onderwijs_en_zorg,aantal_bedrijven_cultuur_recreatie_overige,aantal_bedrijfsvestigingen,woningvoorraad,gemiddelde_woningwaarde,percentage_eengezinswoning,percentage_meergezinswoning,percentage_bewoond,percentage_koopwoningen,percentage_huurwoningen,perc_huurwoningen_in_bezit_woningcorporaties,perc_huurwoningen_in_bezit_overige_verhuurders,percentage_woningen_met_eigendom_onbekend,percentage_bouwjaarklasse_tot_2000,percentage_bouwjaarklasse_vanaf_2000,percentage_leegstand_woningen,personenautos_totaal,personenautos_per_huishouden,personenautos_per_km2,motortweewielers_totaal,aantal_personenautos_met_brandstof_benzine,aantal_personenautos_met_overige_brandstof,huisartsenpraktijk_gemiddelde_afstand_in_km,huisartsenpraktijk_gemiddeld_aantal_binnen_1_km,huisartsenpraktijk_gemiddeld_aantal_binnen_3_km,huisartsenpraktijk_gemiddeld_aantal_binnen_5_km,apotheek_gemiddelde_afstand_in_km,grote_supermarkt_gemiddelde_afstand_in_km,grote_supermarkt_gemiddeld_aantal_binnen_1_km,grote_supermarkt_gemiddeld_aantal_binnen_3_km,grote_supermarkt_gemiddeld_aantal_binnen_5_km,winkels_ov_dagelijkse_levensm_gem_afst_in_km,winkels_ov_dagel_levensm_gem_aantal_binnen_1_km,winkels_ov_dagel_levensm_gem_aantal_binnen_3_km,winkels_ov_dagel_levensm_gem_aantal_binnen_5_km,warenhuis_gemiddelde_afstand_in_km,warenhuis_gemiddeld_aantal_binnen_5_km,warenhuis_gemiddeld_aantal_binnen_10_km,warenhuis_gemiddeld_aantal_binnen_20_km,cafe_gemiddelde_afstand_in_km,cafe_gemiddeld_aantal_binnen_1_km,cafe_gemiddeld_aantal_binnen_3_km,cafe_gemiddeld_aantal_binnen_5_km,cafetaria_gemiddelde_afstand_in_km,cafetaria_gemiddeld_aantal_binnen_1_km,cafetaria_gemiddeld_aantal_binnen_3_km,cafetaria_gemiddeld_aantal_binnen_5_km,restaurant_gemiddelde_afstand_in_km,restaurant_gemiddeld_aantal_binnen_1_km,restaurant_gemiddeld_aantal_binnen_3_km,restaurant_gemiddeld_aantal_binnen_5_km,hotel_gemiddelde_afstand_in_km,hotel_gemiddeld_aantal_binnen_5_km,hotel_gemiddeld_aantal_binnen_10_km,hotel_gemiddeld_aantal_binnen_20_km,kinderdagverblijf_gemiddelde_afstand_in_km,kinderdagverblijf_gemiddeld_aantal_binnen_1_km,kinderdagverblijf_gemiddeld_aantal_binnen_3_km,kinderdagverblijf_gemiddeld_aantal_binnen_5_km,buitenschoolse_opvang_gem_afstand_in_km,buitenschoolse_opvang_gemiddeld_aantal_binnen_1_km,buitenschoolse_opvang_gemiddeld_aantal_binnen_3_km,buitenschoolse_opvang_gemiddeld_aantal_binnen_5_km,basisonderwijs_gemiddelde_afstand_in_km,basisonderwijs_gemiddeld_aantal_binnen_1_km,basisonderwijs_gemiddeld_aantal_binnen_3_km,basisonderwijs_gemiddeld_aantal_binnen_5_km,voortgezet_onderwijs_gem_afstand_in_km,voortgezet_onderwijs_gemiddeld_aantal_binnen_3_km,voortgezet_onderwijs_gemiddeld_aantal_binnen_5_km,voortgezet_onderwijs_gemiddeld_aantal_binnen_10_km,vmbo_gemiddelde_afstand_in_km,vmbo_gemiddeld_aantal_binnen_3_km,vmbo_gemiddeld_aantal_binnen_5_km,vmbo_gemiddeld_aantal_binnen_10_km,havo_vwo_gemiddelde_afstand_in_km,havo_vwo_gemiddeld_aantal_binnen_3_km,havo_vwo_gemiddeld_aantal_binnen_5_km,havo_vwo_gemiddeld_aantal_binnen_10_km,brandweerkazerne_gemiddelde_afstand_in_km,zwembad_gemiddelde_afstand_in_km,kunstijsbaan_gemiddelde_afstand_in_km,bibliotheek_gemiddelde_afstand_in_km,bioscoop_gemiddelde_afstand_in_km,bioscoop_gemiddeld_aantal_binnen_5_km,bioscoop_gemiddeld_aantal_binnen_10_km,bioscoop_gemiddeld_aantal_binnen_20_km,sauna_gemiddelde_afstand_in_km,zonnebank_gemiddelde_afstand_in_km,attractiepark_gemiddelde_afstand_in_km,attractiepark_gemiddeld_aantal_binnen_10_km,attractiepark_gemiddeld_aantal_binnen_20_km,attractiepark_gemiddeld_aantal_binnen_50_km,wijknaam
BU03630904,Czaar Peterbuurt,WK036309,23610.0,2360.0,1175.0,1180.0,10.0,11.0,45.0,23.0,10.0,74.0,15.0,9.0,2.0,17.0,1465.0,61.0,21.0,17.0,1.6,22.0,30.0,6.0,2.0,7.0,2.0,13.0,0.0,35.0,85.0,75.0,30.0,190.0,95.0,120.0,635.0,1454.0,364.0,2.0,98.0,95.0,22.0,78.0,31.0,47.0,0.0,79.0,21.0,5.0,420.0,0.3,4060.0,65.0,340.0,80.0,0.3,3.7,40.5,96.2,0.3,0.3,4.7,57.8,122.9,0.1,16.9,260.4,758.3,2.2,8.8,21.0,30.4,0.1,11.4,254.7,561.5,0.1,13.5,245.7,671.7,0.1,27.5,581.5,1631.0,0.4,345.8,433.9,491.9,0.2,8.5,73.7,205.8,0.2,5.9,45.1,113.3,0.2,1.9,27.2,62.1,0.9,10.1,34.1,76.3,0.9,7.0,21.8,56.3,0.9,6.7,22.7,51.2,1.4,2.6,3.5,1.4,1.7,9.7,14.0,18.0,1.9,1.0,1.7,7.0,16.1,66.0,Oostelijke Eilanden/Kadijken
BU03630905,Het Funen,WK036309,18557.0,1300.0,650.0,650.0,20.0,13.0,24.0,33.0,10.0,63.0,30.0,6.0,1.0,11.0,620.0,44.0,22.0,34.0,2.1,21.0,21.0,5.0,1.0,3.0,1.0,10.0,0.0,10.0,30.0,40.0,30.0,100.0,50.0,30.0,290.0,562.0,606.0,0.0,100.0,96.0,61.0,39.0,31.0,7.0,0.0,1.0,99.0,4.0,320.0,0.5,4301.0,35.0,245.0,75.0,0.5,5.2,40.1,94.4,0.6,0.5,8.5,57.0,120.6,0.3,33.5,244.2,747.7,2.3,8.6,21.0,30.2,0.4,18.1,237.3,557.0,0.4,20.9,226.5,663.7,0.3,47.4,543.9,1610.0,0.4,344.0,433.5,491.3,0.4,10.7,72.9,200.9,0.2,6.7,45.9,110.8,0.6,2.7,26.9,60.9,0.9,12.4,32.8,76.0,0.9,8.5,20.9,56.0,0.9,6.7,21.9,51.0,1.3,2.6,3.1,1.0,1.7,9.3,14.0,18.0,1.5,1.1,1.7,7.0,15.9,65.8,Oostelijke Eilanden/Kadijken
BU03630907,Kazernebuurt,WK036309,18780.0,940.0,445.0,490.0,6.0,12.0,32.0,28.0,23.0,70.0,18.0,9.0,3.0,10.0,620.0,65.0,21.0,14.0,1.5,20.0,21.0,4.0,1.0,5.0,2.0,9.0,0.0,10.0,15.0,25.0,5.0,55.0,35.0,40.0,180.0,572.0,475.0,1.0,99.0,95.0,24.0,75.0,69.0,6.0,0.0,100.0,0.0,5.0,210.0,0.3,3823.0,30.0,165.0,45.0,0.4,6.2,48.6,106.4,0.5,0.2,11.0,69.4,134.0,0.4,37.4,397.6,816.2,1.8,10.1,21.4,32.0,0.3,18.4,342.8,594.2,0.3,26.7,376.2,707.1,0.2,53.7,877.8,1761.0,0.5,360.1,436.6,497.5,0.2,9.1,94.6,231.6,0.3,6.4,55.2,125.4,0.7,2.3,31.3,71.2,0.8,15.0,39.2,78.0,0.8,10.1,24.2,58.0,0.8,8.3,25.9,52.0,1.1,2.0,3.2,1.2,1.1,11.6,14.0,18.0,1.8,0.6,1.1,7.0,17.0,66.0,Oostelijke Eilanden/Kadijken
BU03630908,Kadijken,WK036309,17265.0,2935.0,1490.0,1445.0,9.0,10.0,28.0,32.0,21.0,64.0,25.0,8.0,3.0,9.0,1890.0,63.0,22.0,15.0,1.6,23.0,16.0,2.0,1.0,3.0,1.0,10.0,0.0,35.0,60.0,85.0,45.0,245.0,110.0,160.0,740.0,1659.0,517.0,2.0,98.0,96.0,33.0,67.0,55.0,13.0,0.0,92.0,8.0,4.0,795.0,0.4,4668.0,135.0,625.0,170.0,0.4,3.2,51.3,114.2,0.6,0.4,4.7,71.4,142.6,0.3,10.6,457.8,851.4,1.2,10.7,21.0,31.5,0.3,11.7,423.0,617.0,0.3,10.4,439.9,744.9,0.3,30.8,1009.0,1817.0,0.6,358.9,436.1,498.3,0.6,6.5,82.1,259.9,0.6,3.8,46.2,136.4,0.8,1.5,27.9,82.7,1.4,11.4,43.6,77.1,1.4,7.7,27.7,57.1,1.4,8.6,28.9,51.1,0.9,2.5,3.9,1.7,1.4,12.8,14.0,18.0,1.8,1.3,1.1,7.0,16.5,66.0,Oostelijke Eilanden/Kadijken
BU03631000,Coenhaven/Mercuriushaven,WK036310,66.0,95.0,55.0,40.0,2.0,53.0,34.0,8.0,3.0,89.0,6.0,4.0,0.0,0.0,85.0,95.0,2.0,2.0,1.1,44.0,26.0,2.0,1.0,0.0,2.0,21.0,0.0,75.0,175.0,155.0,65.0,155.0,15.0,50.0,685.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,0.0,0.0,10.0,125.0,155.0,1.0,0.9,10.4,44.4,1.4,1.1,0.1,10.6,61.6,1.2,0.1,89.9,490.0,2.3,6.7,19.0,38.7,1.1,0.2,48.1,437.9,0.6,1.2,53.8,482.1,0.4,5.4,180.6,1075.0,1.1,234.5,418.6,505.2,1.0,1.6,27.5,100.0,1.0,0.9,14.9,46.2,1.0,1.7,7.8,32.7,0.7,4.6,9.8,72.4,2.1,3.6,6.9,52.4,0.7,2.7,6.9,46.5,3.1,2.8,8.9,1.5,2.3,8.6,13.0,20.4,3.3,2.2,4.8,5.9,16.7,63.8,Westelijk Havengebied
BU03631001,Alfa-driehoek,WK036310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,70.0,50.0,30.0,110.0,30.0,10.0,320.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1370.0,0.0,0.0,10.0,935.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99999999.0,Westelijk Havengebied
BU03631002,Petroleumhaven,WK036310,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,5.0,5.0,20.0,0.0,0.0,65.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99999999.0,Westelijk Havengebied
BU03631003,Westhaven Noord,WK036310,9.0,35.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,15.0,58.0,16.0,26.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,45.0,50.0,10.0,40.0,0.0,5.0,205.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,10.0,95.0,65.0,4.0,0.0,0.2,19.7,4.0,2.3,0.1,1.2,23.9,2.2,0.1,3.4,104.0,4.6,1.2,16.2,39.2,2.4,0.0,2.2,45.6,0.9,1.2,13.1,87.7,1.9,0.5,11.8,153.8,2.3,19.8,394.9,508.9,3.6,0.0,0.6,49.8,3.8,0.0,0.3,23.5,3.8,0.0,0.2,19.9,2.4,2.0,6.8,49.4,2.4,2.0,5.8,36.5,3.0,0.7,3.6,33.1,3.0,5.0,11.9,4.3,5.1,1.6,11.7,20.5,5.9,4.5,5.0,4.7,16.3,61.7,Westelijk Havengebied
BU03631004,Vervoerscentrum,WK036310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,35.0,30.0,10.0,30.0,5.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,5.0,30.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99999999.0,Westelijk Havengebied
BU03631005,Amerikahaven,WK036310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,45.0,55.0,10.0,25.0,0.0,10.0,205.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,10.0,55.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99999999.0,Westelijk Havengebied
BU03631006,Afrikahaven,WK036310,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,20.0,0.0,5.0,0.0,10.0,45.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99999999.0,Westelijk Havengebied
BU03631007,Westhaven Zuid,WK036310,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,5.0,10.0,15.0,0.0,5.0,85.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,5.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99999999.0,Westelijk Havengebied
BU03631100,Sloterdijk II,WK036311,22.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,60.0,50.0,30.0,60.0,20.0,10.0,260.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,0.0,0.0,20.0,325.0,300.0,2.3,0.0,11.4,50.3,2.3,0.4,1.0,17.9,62.7,0.4,2.6,54.6,324.9,2.7,3.0,18.0,42.0,0.6,1.6,16.2,162.7,0.4,9.8,53.8,242.4,0.2,10.8,73.5,543.5,0.4,47.9,421.1,523.6,1.9,0.0,27.8,132.5,1.9,0.0,10.2,68.0,2.0,0.0,12.5,49.0,1.1,4.6,11.9,63.0,1.1,3.6,10.9,47.1,1.1,2.0,8.9,43.4,2.8,3.2,11.0,2.6,3.6,4.0,12.0,21.0,4.3,2.5,3.2,6.0,20.9,63.9,Bedrijventerrein Sloterdijk
BU03631102,Sloterdijk III Oost,WK036311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,45.0,5.0,0.0,10.0,5.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,70.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99999999.0,Bedrijventerrein Sloterdijk
BU03631103,Sloterdijk III West,WK036311,58.0,120.0,95.0,25.0,2.0,45.0,33.0,18.0,3.0,85.0,7.0,8.0,0.0,0.0,105.0,91.0,7.0,2.0,1.1,26.0,47.0,9.0,6.0,10.0,9.0,13.0,0.0,145.0,235.0,115.0,45.0,135.0,30.0,25.0,725.0,29.0,0.0,3.0,97.0,55.0,3.0,97.0,0.0,97.0,0.0,17.0,83.0,45.0,430.0,0.0,0.0,50.0,175.0,255.0,3.1,0.0,0.4,10.3,3.1,2.9,0.0,1.6,18.0,2.6,0.0,3.5,47.6,3.9,1.0,9.7,42.4,2.5,0.0,1.7,10.5,0.3,3.7,8.5,41.2,0.6,2.8,8.5,54.8,3.7,11.5,299.1,520.3,2.5,0.0,4.4,27.0,2.5,0.0,2.1,13.5,2.5,0.0,1.8,14.4,3.6,0.2,3.1,26.5,3.6,0.2,3.1,20.8,3.6,0.2,1.8,18.3,1.9,4.6,13.9,3.4,7.0,0.0,8.6,20.0,5.2,3.8,1.4,3.3,21.0,65.5,Bedrijventerrein Sloterdijk
BU03631104,De Heining,WK036311,28.0,30.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,10.0,46.0,23.0,31.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,30.0,0.0,5.0,10.0,0.0,15.0,75.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,30.0,5.0,4.8,0.0,0.0,2.5,4.9,4.6,0.0,0.0,4.3,3.4,0.0,0.0,15.4,5.8,0.0,4.1,43.6,4.2,0.0,0.0,4.6,1.8,0.0,6.8,20.0,1.4,0.0,3.9,12.9,5.0,0.8,56.6,535.3,4.1,0.0,0.0,9.6,4.3,0.0,0.0,6.4,4.1,0.0,0.0,4.6,5.3,0.0,0.0,15.0,5.3,0.0,0.0,13.2,5.3,0.0,0.0,10.0,2.7,6.4,12.3,5.0,8.8,0.0,4.0,20.0,7.0,5.6,1.9,3.0,21.0,64.9,Bedrijventerrein Sloterdijk
BU03631105,Teleport,WK036311,820.0,695.0,410.0,285.0,1.0,35.0,61.0,3.0,0.0,94.0,5.0,1.0,0.0,3.0,615.0,87.0,12.0,1.0,1.1,36.0,42.0,3.0,2.0,5.0,2.0,30.0,0.0,40.0,130.0,125.0,125.0,220.0,55.0,35.0,730.0,605.0,134.0,0.0,100.0,82.0,0.0,100.0,0.0,100.0,0.0,29.0,71.0,18.0,1190.0,1.9,1395.0,10.0,745.0,445.0,1.9,0.0,19.2,59.9,1.9,0.8,1.0,22.7,74.7,0.8,2.0,86.5,411.6,2.2,3.9,18.0,43.7,1.0,0.5,30.1,219.5,0.6,7.5,76.7,319.3,0.2,9.2,102.3,739.1,0.1,104.2,424.7,523.8,1.4,0.0,45.3,165.6,1.4,0.0,21.0,80.6,1.5,0.0,19.0,55.3,0.5,4.2,15.0,64.0,0.5,4.2,13.0,47.4,0.5,1.2,10.0,42.9,2.3,2.8,10.6,2.1,3.1,4.3,12.4,21.0,3.8,2.0,2.7,6.0,21.6,65.3,Bedrijventerrein Sloterdijk
BU03631107,Bretten Oost,WK036311,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99999999.0,Bedrijventerrein Sloterdijk
BU03631109,Bretten West,WK036311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99999999.0,Bedrijventerrein Sloterdijk
BU03631200,Houthavens West,WK036312,10117.0,3035.0,1555.0,1480.0,23.0,5.0,42.0,23.0,8.0,63.0,30.0,5.0,2.0,33.0,1365.0,36.0,28.0,36.0,2.2,21.0,14.0,2.0,1.0,2.0,1.0,8.0,0.0,15.0,45.0,55.0,70.0,245.0,90.0,65.0,580.0,1418.0,679.0,9.0,91.0,88.0,57.0,43.0,8.0,35.0,0.0,0.0,100.0,12.0,1195.0,0.9,3916.0,100.0,695.0,495.0,0.4,1.5,16.0,57.7,1.0,0.7,2.5,16.5,74.7,0.7,6.9,151.9,561.9,1.8,7.0,19.7,39.1,0.7,4.7,107.1,503.0,0.6,6.4,115.6,552.0,0.2,18.3,307.4,1255.0,0.8,289.3,422.0,507.5,0.3,2.5,34.7,123.5,0.3,1.7,18.0,63.3,0.3,2.0,10.3,41.2,0.8,5.0,10.6,73.6,1.9,4.0,7.6,53.6,0.8,3.2,7.6,47.0,2.7,2.3,8.4,1.1,1.8,9.2,13.0,20.6,2.8,1.7,4.3,6.0,16.8,64.8,Houthavens
BU03631201,Houthavens Oost,WK036312,32650.0,655.0,355.0,300.0,8.0,6.0,24.0,41.0,21.0,58.0,31.0,8.0,2.0,5.0,395.0,55.0,30.0,15.0,1.6,26.0,11.0,2.0,0.0,3.0,2.0,6.0,0.0,10.0,15.0,35.0,20.0,90.0,15.0,35.0,220.0,352.0,632.0,0.0,100.0,93.0,56.0,44.0,28.0,16.0,0.0,55.0,45.0,7.0,235.0,0.6,10122.0,25.0,175.0,60.0,0.7,1.1,25.6,77.4,1.2,1.1,0.5,30.6,105.1,0.3,2.2,312.5,694.9,1.2,7.0,21.0,38.0,0.3,4.5,287.1,577.7,0.2,6.0,306.9,665.7,0.4,15.6,632.7,1553.0,0.8,337.4,425.0,508.9,0.6,4.3,46.7,173.3,0.3,5.1,23.7,87.3,0.5,2.0,13.2,52.4,1.3,5.0,17.0,75.1,1.3,3.5,13.0,55.1,1.3,4.0,13.0,48.0,2.5,1.9,7.3,1.4,1.2,10.0,13.0,21.0,2.0,1.2,3.2,7.0,15.7,65.0,Houthavens
