"Buurten";"bevolking totaal|2018";"mannen (aantal)|2018";"vrouwen (aantal)|2018";"jeugd: 0 t/m 17 jarigen|2018";"jongeren: 18 t/m 26 jaar|2018";"volwassenen: 27 t/m 64 jaar|2018";"senioren: 65 jaar en ouder|2018";"woonruimten|2018";"zelfstandige woningen eigenaar-bewoner|2018";"zelfstandige woningen in corporatief bezit|2018";"gemiddeld huishoudensinkomen|2018";"percentage minimahuishoudens|2018";"aangiften diefstal af/uit woning|2018";"aangiften diefstal fiets|2018";"aangiften diefstal auto|2018";"aangiften diefstal af/uit auto|2018";"aangiften diefstal af/uit bedrijf|2018";"aangiften van vernieling|2018";"aangiften van mishandeling|2018"
"0905 Dorkwerd";83;46;37;15;8;43;17;36;24;0;"";"";0;0;0;0;0;1;1
"0906 De Held";2668;1347;1321;686;197;1409;376;1018;839;100;49,9;3,4;12;3;0;1;0;7;5
"0907 Westpark";34;24;10;1;7;25;1;6;4;0;"";"";0;0;0;0;0;0;0
"1000 Selwerd";6231;3053;3178;922;1886;2412;995;3271;749;1605;27,2;26,6;27;64;2;6;1;44;19
"1001 Paddepoel-Zuid";4614;2238;2376;976;850;2109;665;2390;583;1405;31,0;28,5;13;41;2;15;2;40;5
"1002 Paddepoel-Noord";5897;2822;3075;622;1617;2202;1446;3201;863;1694;27,8;25,0;29;31;0;8;5;31;16
"1003 Zernike Campus";10;6;4;0;1;9;0;4;4;0;"";"";1;8;0;0;2;5;2
"1004 Selwerderhof";5;2;3;0;0;1;4;3;2;0;"";"";0;0;0;0;0;0;0
"1005 Tuinwijk";1561;744;817;192;462;803;103;878;218;496;28,4;24,1;5;25;0;2;0;9;2
"1100 Beijum-West";6134;3106;3028;1280;711;3484;659;2975;1751;710;34,3;16,2;21;10;1;2;1;36;16
"1101 Beijum-Oost";6351;3212;3139;1463;826;3530;524;3098;1038;1863;29,9;29,1;17;11;0;6;4;49;16
"1102 De Hunze";2495;1244;1251;486;236;1467;306;1005;915;1;49,6;1,9;15;5;2;3;2;7;2
"1103 Van Starkenborgh";946;497;449;292;77;541;36;295;270;0;64,6;1,6;3;1;0;1;0;1;0
"1104 Noorderhoogebrug";284;150;134;49;40;154;41;122;93;0;48,3;8,5;2;1;0;1;1;3;0
"1105 Het Witte Lam";35;20;15;7;4;17;7;16;10;0;"";"";0;0;0;0;0;0;0
"1106 Koningslaagte";74;39;35;17;7;33;17;25;15;0;"";"";0;0;0;0;0;0;0
"1107 Hunzeboord";3;1;2;0;3;0;0;1;0;0;"";"";0;0;0;0;0;0;0
"1200 Lewenborg-Noord";3646;1735;1911;752;331;1771;788;1810;639;966;30,0;25,5;11;11;0;1;3;22;15
"1201 Lewenborg-Zuid";3501;1689;1812;866;318;1844;470;1579;850;641;33,8;18,7;5;13;0;3;2;24;8
"1202 Lewenborg-West";1853;931;922;363;250;945;295;818;630;0;39,1;5,1;5;12;1;0;0;18;6
"1203 Oosterhoogebrug";2235;1154;1081;320;238;1166;511;1093;602;336;39,1;11,8;8;5;3;2;4;11;5
"1204 Ulgersmaborg";2077;1042;1035;474;187;1176;240;840;569;149;44,7;7,7;12;4;1;2;1;5;1
