buurt_number,dogs_amount,aantal_mensen_met_een_uitkering_Participatiewet,percentage_mensen_met_een_uitkering_krachtens_de_Participatiewet,bevolking_totaal,mannen_aantal,vrouwen_aantal,mannen_perc,vrouwen_perc,jeugd_0_17_jarigen,jongeren_18_26_jaar,volwassenen_27_64_jaar,senioren_65_jaar_en_ouder,perc_jeugd_0_17_jaar,perc_jongeren_18_26_jaar,perc_volwassenen_27_64_jaar,perc_senioren_65_jaar_en_ouder,woonruimten,percentage_woonruimten,perc_zelfstandige_woningen_eigenaar-bewoner,perc_zelfstandige_woningen_in_corporatief_bezit,perc_zelfstandige_woningen_overig_incl_onbekend,gemiddeld_huishoudensinkomen,koopkracht_van_huishoudens,percentage_minimahuishoudens,aangiften_diefstal_af_uit_woning,aangiften_diefstal_af_uit_woning_relatief,aangiften_diefstal_auto,aangiften_diefstal_af_uit_bedrijf,aangiften_diefstal_fiets,aangiften_diefstal_af_uit_auto,aangiften_van_mishandeling,aangiften_van_vernieling,aangiften_mishandeling_relatief,buurt_name
0501,10,0,0.0,453.0,260.0,193.0,57.4,42.6,28.0,139.0,223.0,63.0,6.2,30.7,49.2,13.9,313.0,72.6,36.4,42.2,21.4,43.9,114.0,7.4,1.0,3.2,0.0,2.0,5.0,4.0,2.0,3.0,4.4,Europapark
0502,1,0,0.0,67.0,46.0,21.0,68.7,31.3,2.0,20.0,44.0,1.0,3.0,29.9,65.7,1.5,12.0,6.9,8.3,0.0,91.7,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Eemskanaal
0503,10,0,0.0,658.0,347.0,311.0,52.7,47.3,68.0,156.0,380.0,54.0,10.3,23.7,57.8,8.2,391.0,96.1,47.3,18.9,33.8,51.8,129.9,3.2,1.0,2.6,0.0,1.0,4.0,3.0,1.0,2.0,1.5,Kop van Oost
0504,7,0,0.0,141.0,91.0,50.0,64.5,35.5,18.0,33.0,80.0,10.0,12.8,23.4,56.7,7.1,0.0,95.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Woonschepenhaven
0506,2,0,0.0,27.0,14.0,13.0,51.9,48.1,8.0,1.0,12.0,6.0,29.6,3.7,44.4,22.2,11.0,2.0,63.6,0.0,36.4,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,2.0,2.0,6.0,74.1,Eemspoort
0507,3,0,0.0,48.0,30.0,18.0,62.5,37.5,9.0,7.0,24.0,8.0,18.8,14.6,50.0,16.7,7.0,11.7,57.1,0.0,42.9,0.0,0.0,0.0,1.0,0.0,3.0,4.0,1.0,2.0,2.0,6.0,41.7,Euvelgunne
0508,3,14,28.6,53.0,40.0,13.0,75.5,24.5,2.0,3.0,46.0,2.0,3.8,5.7,86.8,3.8,8.0,6.0,62.5,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Winschoterdiep
0510,3,0,0.0,25.0,12.0,13.0,48.0,52.0,3.0,3.0,15.0,4.0,12.0,12.0,60.0,16.0,10.0,83.3,60.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Roodehaan
0600,8,0,0.0,390.0,299.0,91.0,76.7,23.3,34.0,24.0,304.0,28.0,8.7,6.2,77.9,7.2,62.0,50.4,83.9,1.6,14.5,0.0,0.0,0.0,1.0,16.1,0.0,0.0,4.0,0.0,1.0,1.0,2.6,Sterrebosbuurt
0601,87,38,2.0,3080.0,1460.0,1620.0,47.4,52.6,515.0,356.0,1461.0,748.0,16.7,11.6,47.4,24.3,1701.0,72.9,62.4,12.9,24.6,42.8,107.0,6.2,6.0,3.5,0.0,1.0,6.0,2.0,2.0,10.0,0.6,Coendersborg
0602,31,0,0.0,649.0,313.0,336.0,48.2,51.8,121.0,40.0,315.0,173.0,18.6,6.2,48.5,26.7,291.0,90.1,83.8,0.0,16.2,68.9,156.8,1.8,2.0,6.9,0.0,0.0,2.0,0.0,0.0,2.0,0.0,Klein Martijn
0603,49,0,0.0,922.0,447.0,475.0,48.5,51.5,176.0,48.0,346.0,352.0,19.1,5.2,37.5,38.2,436.0,86.0,84.6,0.0,15.4,81.7,186.0,1.2,9.0,20.6,1.0,0.0,3.0,0.0,1.0,5.0,1.1,Villabuurt
0604,123,257,5.4,6136.0,3026.0,3110.0,49.3,50.7,746.0,1476.0,3182.0,731.0,12.2,24.1,51.9,11.9,3197.0,83.0,56.7,15.7,27.6,35.9,94.0,14.8,12.0,3.8,2.0,3.0,54.0,11.0,28.0,29.0,4.6,Helpman
0605,127,434,12.5,4807.0,2402.0,2405.0,50.0,50.0,764.0,815.0,2521.0,702.0,15.9,17.0,52.4,14.6,2813.0,88.6,27.5,48.3,24.2,29.3,78.7,21.9,14.0,5.0,2.0,3.0,31.0,10.0,12.0,21.0,2.5,De Wijert
0606,106,21,1.2,3183.0,1501.0,1682.0,47.2,52.8,733.0,194.0,1458.0,798.0,23.0,6.1,45.8,25.1,1431.0,87.6,77.5,7.8,14.7,52.6,121.3,4.6,15.0,10.5,0.0,3.0,3.0,1.0,2.0,16.0,0.6,De Wijert-Zuid
0700,132,252,8.3,4507.0,2134.0,2373.0,47.3,52.7,563.0,766.0,2184.0,991.0,12.5,17.0,48.5,22.0,2725.0,87.0,30.2,47.4,22.4,30.3,80.7,19.0,8.0,2.9,1.0,5.0,10.0,15.0,11.0,24.0,2.4,Corpus den Hoorn
0701,141,155,5.7,4422.0,2149.0,2273.0,48.6,51.4,635.0,470.0,2132.0,1183.0,14.4,10.6,48.2,26.8,2616.0,96.9,36.8,32.9,30.3,37.4,95.0,12.7,13.0,5.0,0.0,2.0,9.0,1.0,7.0,13.0,1.6,Hoornsemeer
0702,22,0,0.0,719.0,364.0,355.0,50.6,49.4,138.0,33.0,329.0,219.0,19.2,4.6,45.8,30.5,297.0,99.3,77.1,0.0,22.9,63.7,140.5,1.7,2.0,6.7,0.0,0.0,2.0,0.0,1.0,2.0,1.4,Hoornsepark
