dogs_amount,buurtcode,aantal_mensen_met_een_uitkering_Participatiewet,percentage_mensen_met_een_uitkering_krachtens_de_Participatiewet,bevolking_totaal,mannen_aantal,vrouwen_aantal,jeugd_0_17_jarigen,jongeren_18_26_jaar,volwassenen_27_64_jaar,senioren_65_jaar_en_ouder,woonruimten,zelfstandige_woningen_eigenaar-bewoner,zelfstandige_woningen_in_corporatief_bezit,gemiddeld_huishoudensinkomen,percentage_minimahuishoudens,aangiften_diefstal_af_uit_woning,aangiften_diefstal_fiets,aangiften_diefstal_auto,aangiften_diefstal_af_uit_auto,aangiften_diefstal_af_uit_bedrijf,aangiften_van_vernieling,aangiften_van_mishandeling,buurt_name,politie_report_aantal
31,BU000602,0,0.0,649.0,313.0,336.0,121.0,40.0,315.0,173.0,291.0,244.0,0.0,68.9,1.8,2.0,2.0,0.0,0.0,0.0,2.0,0.0,Klein Martijn,6.0
49,BU000603,0,0.0,922.0,447.0,475.0,176.0,48.0,346.0,352.0,436.0,369.0,0.0,81.7,1.2,9.0,3.0,1.0,0.0,0.0,5.0,1.0,Villabuurt,19.0
123,BU000604,257,5.4,6136.0,3026.0,3110.0,746.0,1476.0,3182.0,731.0,3197.0,1812.0,502.0,35.9,14.8,12.0,54.0,2.0,11.0,3.0,29.0,28.0,Helpman,139.0
127,BU000605,434,12.5,4807.0,2402.0,2405.0,764.0,815.0,2521.0,702.0,2813.0,773.0,1358.0,29.3,21.9,14.0,31.0,2.0,10.0,3.0,21.0,12.0,De Wijert,93.0
106,BU000606,21,1.2,3183.0,1501.0,1682.0,733.0,194.0,1458.0,798.0,1431.0,1109.0,112.0,52.6,4.6,15.0,3.0,0.0,1.0,3.0,16.0,2.0,De Wijert-Zuid,40.0
132,BU000700,252,8.3,4507.0,2134.0,2373.0,563.0,766.0,2184.0,991.0,2725.0,823.0,1291.0,30.3,19.0,8.0,10.0,1.0,15.0,5.0,24.0,11.0,Corpus den Hoorn,74.0
141,BU000701,155,5.7,4422.0,2149.0,2273.0,635.0,470.0,2132.0,1183.0,2616.0,963.0,861.0,37.4,12.7,13.0,9.0,0.0,1.0,2.0,13.0,7.0,Hoornsemeer,45.0
22,BU000702,0,0.0,719.0,364.0,355.0,138.0,33.0,329.0,219.0,297.0,229.0,0.0,63.7,1.7,2.0,2.0,0.0,0.0,0.0,2.0,1.0,Hoornsepark,7.0
2,BU000703,0,0.0,17.0,12.0,5.0,1.0,13.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Van Swieten,4.0
35,BU000704,0,0.0,1217.0,598.0,619.0,349.0,83.0,627.0,158.0,425.0,386.0,0.0,78.6,1.2,4.0,3.0,0.0,0.0,1.0,4.0,2.0,Piccardthof,14.0
3,BU000705,0,0.0,40.0,26.0,14.0,6.0,1.0,23.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Bruilwering,4.0
174,BU000800,96,8.0,1862.0,949.0,913.0,357.0,201.0,930.0,374.0,862.0,358.0,392.0,32.4,19.3,3.0,2.0,0.0,0.0,1.0,22.0,10.0,Hoogkerk Dorp,38.0
347,BU000801,136,4.1,5466.0,2659.0,2807.0,1202.0,456.0,2667.0,1141.0,2440.0,1421.0,692.0,36.8,11.0,12.0,2.0,1.0,2.0,1.0,16.0,7.0,Hoogkerk-Zuid,41.0
16,BU000803,0,0.0,138.0,64.0,74.0,27.0,13.0,82.0,16.0,59.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Vierverlaten,1.0
9,BU000804,0,0.0,45.0,26.0,19.0,11.0,3.0,19.0,12.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zuidwending,0.0
7,BU000805,0,0.0,78.0,44.0,34.0,15.0,7.0,43.0,13.0,28.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Leegkerk,2.0
